jid,formula,spg,dim,norb,nk,group,band,rank,W_band,W_group_max,W_span,d_iso,M_trg,lam,nphi,unif,Emid,M_manifold_diag,lam_manifold_diag,Tc_R1.00,binds_R1.00,cap_R1.00,U_R1.00,Tc_R0.85,binds_R0.85,cap_R0.85,U_R0.85,Tc_R0.55,binds_R0.55,cap_R0.55,U_R0.55,efermi,group_Emin,group_Emax,ef_inside,filling,band_Emin,band_Emax,ef_status,lamM
JVASP-6370,ScAgP2S6,149,2,76,40,2-3,3,2,0.32452574670008083,0.3245257467000773,0.3249343493761234,1.14089638220433,5.981352541747052,0.06944344382546214,14.40089794921011,0.10526596090751085,-11.221070168929248,0.058589019352178306,0.06941570986936275,114.92546074216891,amp,iso,0.570448191102165,100.73260160587152,amp,adiab,0.5,36.26373657811374,amp,adiab,0.18,-3.5077,-11.418512039323122,-11.093577689946999,False,1.0,-11.418103436647076,-11.093577689946999,fail_ef_outside,0.41536571923309656
JVASP-6382,Nb3TeCl7,156,2,86,40,0-1,0,2,0.09205468049125898,0.09205468049123766,0.0934901629726852,4.282694033066658,4.633712543044826,0.362549809058415,2.8597554229514635,0.4823305949177604,-13.448970147273847,0.03705515056476169,0.3352024390048628,1577.712025772639,amp,phys,1.5,525.9040085908797,amp,adiab,0.5,189.32544309271668,amp,adiab,0.18,-3.211,-13.488626972831566,-13.395136809858881,False,1.0,-13.488626972831566,-13.396572292340329,fail_ef_outside,1.6799515977124844
JVASP-6382,Nb3TeCl7,156,2,86,40,0-1,1,2,0.07461535439389877,0.09205468049123766,0.0934901629726852,4.282694033066658,4.634283684138785,0.36287712603779987,2.8567713908027903,0.4825333428613716,-13.444043147263251,0.03705515056476169,0.3352024390048628,1579.1364147026904,amp,phys,1.5,526.3788049008969,amp,adiab,0.5,189.49636976432282,amp,adiab,0.18,-3.211,-13.488626972831566,-13.395136809858881,False,1.0,-13.469752164252762,-13.395136809858881,fail_ef_outside,1.6816755445441494
JVASP-6382,Nb3TeCl7,156,2,86,40,50-51,50,2,0.10849985459106648,0.13780864082457,0.15156838151762209,0.3205532337959207,3.171854539492477,0.034005973416477,29.449955726409776,0.04030668508029429,-4.044029065834745,0.20054707004773892,0.03369006365180372,15.812268267075849,amp,iso,0.16027661689796036,15.812268267075849,amp,iso,0.16027661689796036,15.812268267075849,amp,iso,0.16027661689796036,-3.211,-4.078698799580041,-3.9271304180624185,False,1.0,-4.078698799580041,-3.9701989449889763,fail_ef_outside,0.10786200115091307
JVASP-6382,Nb3TeCl7,156,2,86,40,50-51,51,2,0.13780864082457578,0.13780864082457,0.15156838151762209,0.3205532337959207,3.1797285153522674,0.033545693376875664,29.861729618921892,0.0399056959726958,-4.029181409297586,0.20054707004773892,0.03369006365180372,15.598244943143289,amp,iso,0.16027661689796036,15.598244943143289,amp,iso,0.16027661689796036,15.598244943143289,amp,iso,0.16027661689796036,-3.211,-4.078698799580041,-3.9271304180624185,False,1.0,-4.0649390588869885,-3.9271304180624185,fail_ef_outside,0.10666619779771525
JVASP-6382,Nb3TeCl7,156,2,86,40,56-57,56,2,0.2090527136782554,0.20905271367825717,0.21277905152973897,0.38483230566287663,0.8919622385169281,0.03913661602713986,25.605358185516124,0.07048736728864832,-2.454835923279024,0.23866599322021775,0.03825439758378719,21.84708983899673,amp,iso,0.19241615283143831,21.84708983899673,amp,iso,0.19241615283143831,20.43734953200299,amp,adiab,0.18,-3.211,-2.522380101592033,-2.309601050062294,False,0.0,-2.522380101592033,-2.313327387913776,fail_ef_outside,0.034908383639545154
JVASP-6382,Nb3TeCl7,156,2,86,40,56-57,57,2,0.20901606275585083,0.20905271367825717,0.21277905152973897,0.38483230566287663,0.8961504645300677,0.03904749501572535,25.664677830734224,0.07092259447415586,-2.437015351378497,0.23866599322021775,0.03825439758378719,21.797340143173138,amp,iso,0.19241615283143831,21.797340143173138,amp,iso,0.19241615283143831,20.390810064726082,amp,adiab,0.18,-3.211,-2.522380101592033,-2.309601050062294,False,0.0,-2.518617112818136,-2.309601050062294,fail_ef_outside,0.03499243079707778
JVASP-6394,TaI2Cl2,47,2,80,40,0-1,0,2,0.11144475297905387,0.11147311249573022,0.11152955916588425,0.10502919219489115,2.737925158485417,0.21437964145141838,4.878653436642977,0.2853149743132918,-16.904225583811257,0.12188652041628957,0.16976908596558563,32.6612172093824,amp,iso,0.052514596097445576,32.6612172093824,amp,iso,0.052514596097445576,32.6612172093824,amp,iso,0.052514596097445576,-4.1948,-16.957651636238285,-16.8461220770724,False,1.0,-16.957651636238285,-16.846206883259253,fail_ef_outside,0.5869554137969215
JVASP-6394,TaI2Cl2,47,2,80,40,0-1,1,2,0.11147311249571956,0.11147311249573022,0.11152955916588425,0.10502919219489115,2.738709362213017,0.21470550544500439,4.872033565982669,0.28550518151250387,-16.903975685344793,0.12188652041628957,0.16976908596558563,32.7108633166488,amp,iso,0.052514596097445576,32.7108633166488,amp,iso,0.052514596097445576,32.7108633166488,amp,iso,0.052514596097445576,-4.1948,-16.957651636238285,-16.8461220770724,False,1.0,-16.95759518956813,-16.8461220770724,fail_ef_outside,0.5880159778809114
JVASP-6394,TaI2Cl2,47,2,80,40,2-3,2,2,0.010394362948332514,0.010664967529979918,0.011588994067274427,0.10502919219489115,0.08861908466973784,0.21651444886283125,4.661626610573046,0.26495424704719256,-16.736916274020665,0.030060009459255955,0.20400189747130543,8.050834425091178,stiff,iso,0.052514596097445576,6.843209261327503,stiff,iso,0.052514596097445576,4.4279589338001495,stiff,iso,0.052514596097445576,-4.1948,-16.74109288487751,-16.729503890810236,False,1.0,-16.74109288487751,-16.730698521929163,fail_ef_outside,0.019187312275996866
