icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
16,16,Cu1 N6 O12 Pb1 Tl2,202,1,0,0,Cu1|Pb1,-|3d,"e_g{z2,x2-y2}",1,Pb|Tl,Cu2+
31,31,Cl10 Cs3 O1 Re2,139,0,0,1,Cs2|O1,-,"p{x,y}|{xz,yz}",0,,
179,179,K2 N6 Ni1 O12 Sr1,202,1,0,0,Ni1|Sr1,-|3d,"e_g{z2,x2-y2}",0,,
406,406,Ca1 Co2 Ge2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
604,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
605,605,H8 Cl6 N2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
805,805,C6 H18 Co1 Cr1 N12,148,0,0,1,Cr1|Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
806,805,C6 H18 Co1 Cr1 N12,148,0,0,1,Cr1|Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
849,849,Cs2 O13 V5,107,0,0,1,V2|O4,-|3d,"p{x,y}|{xz,yz}",0,,
1000,1000,C6 Cs2 Fe1 Li1 N6,225,0,0,1,Fe1|Li1,-|3d,"e_g{z2,x2-y2}",0,,
1001,1000,C6 Cs2 Fe1 Li1 N6,225,0,0,1,Fe1|Li1,-|3d,"e_g{z2,x2-y2}",0,,
1140,1140,H12 Ca1 Cl2 O6,150,0,0,1,Ca1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1141,1141,H12 Br2 Ca1 O6,150,0,0,1,Ca1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1144,1144,N3 Na1,166,1,0,0,Na1|N1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1303,1303,Ca1 Cu3 Ge4 O12,204,0,0,1,Ca1,-,"e_g{z2,x2-y2}",1,,Cu2+
1322,1322,Be4 O7 Te1,216,1,0,0,Te1|O2,-,"e_g{z2,x2-y2}",1,Te,
1372,1372,H1 Cr1 O2,160,1,0,0,Cr1|O1|O2|H1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1528,1528,F6 K2 Re1,164,0,0,1,Re1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1610,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1611,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1612,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
1626,1626,Na1 O6 S2 Tl3,164,1,0,0,Tl1|Na1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Tl,
1640,1640,H12 Cl2 Hg1 O14,164,0,0,1,Hg1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1668,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
1845,1845,Cl8 Mn1 Na6,225,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",0,,
1879,1879,F6 Mo1,229,1,0,0,Mo1,4d,"e_g{z2,x2-y2}",0,,
1904,1904,F2 K3 Na1 O6 P2,164,0,0,1,Na1|K1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
1937,1937,K2 N6 Ni1 O12 Pb1,202,0,0,1,Ni1|Pb1,-|3d,"e_g{z2,x2-y2}",1,Pb,
1982,1982,Br4 K2 Pd1,123,1,0,0,Pd1,4d,"p{x,y}|{xz,yz}",0,,
2174,2174,F30 O6 Te7,148,0,0,1,Te1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Te,
2379,2379,H18 Cr1 F3 O9,146,0,0,1,Cr1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
2381,2381,Cs2 Cu1 N6 O12 Pb1,202,0,0,1,Pb1|Cu1,-|3d,"e_g{z2,x2-y2}",1,Pb,Cu2+
2582,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
2583,2582,Cl6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
2723,2723,Cl4 K2 Pd1,123,1,0,0,Pd1,4d,"p{x,y}|{xz,yz}",0,,
2738,2738,Bi1 Cl6 Cs2 Na1,225,1,0,0,Bi1|Na1,-,"e_g{z2,x2-y2}",1,Bi,
2900,2900,H12 Co1 F6 O6 Si1,148,0,0,1,Co1|Si1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
4030,4030,F6 Fe1 Na1 Rb2,225,0,0,1,Na1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
4053,4053,Cs2 F6 K1 Mo1,225,0,0,1,K1|Mo1,-|4d,"e_g{z2,x2-y2}",0,,
4056,4056,Cs2 F6 K1 Rh1,225,0,0,1,K1|Rh1,-|4d,"e_g{z2,x2-y2}",0,,
4057,4057,F6 Pb1 Pt1,166,0,0,1,Pt1|Pb1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Pb,
4138,4138,K3 O4 V1,121,0,0,1,K1|V1,-|3d,"p{x,y}|{xz,yz}",0,,
4169,4169,Ba2 Mn1 O6 Re1,225,1,1,0,Mn1|Re1,3d|5d,"e_g{z2,x2-y2}",0,,
4403,4403,F6 K3 Mo1,225,0,0,1,K1|Mo1,-|4d,"e_g{z2,x2-y2}",0,,
4432,4432,Na2 O3 S1,147,1,0,0,Na1|Na2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
5007,5007,Al1 F6 Li1 Mg1,150,1,0,0,Al1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
5257,5257,Fe1 Si2,123,1,0,0,Fe1,3d,"p{x,y}|{xz,yz}",0,,
5258,5258,Fe1 Si2,123,1,0,0,Fe1,3d,"p{x,y}|{xz,yz}",0,,
5270,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
5271,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
5391,5391,C2 H30 Mg1 O18 S2,148,0,0,1,Mg1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
5435,5435,Co3 S2 Sn2,166,1,1,0,Sn1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
5436,5436,Co3 In2 S2,166,1,0,0,In1|In2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
5437,5437,Co3 In1 S2 Sn1,166,1,1,0,In1|Sn2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
5439,5439,In2 Rh3 S2,166,1,0,0,In1|In2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
5440,5440,In1 Pb1 Rh3 S2,166,1,1,0,Pb1|In2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Pb,
5441,5441,Pb2 Rh3 Se2,166,1,0,0,Pb1|Pb2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Pb,
6027,6027,Al1 F6 K2 Na1,225,1,1,0,Na1|Al1,-,"e_g{z2,x2-y2}",0,,
6035,6035,Cs2 F6 K1 Ti1,225,0,0,1,K1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
6036,6036,Cs2 F6 Fe1 Tl1,225,0,0,1,Tl1|Fe1,-|3d,"e_g{z2,x2-y2}",1,Tl,
6037,6037,Co1 Cs2 F6 K1,225,0,0,1,K1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
6038,6038,Ba1 F6 Rh1,166,0,0,1,Ba1|Rh1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
6039,6039,Cs2 F6 K1 Ni1,225,0,0,1,K1|Ni1,-|3d,"e_g{z2,x2-y2}",1,,Ni3+
6058,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
6063,6063,Br4 K2 Pt1,123,1,0,0,Pt1,5d,"p{x,y}|{xz,yz}",0,,
6085,6085,C6 Cr1 Cs2 Li1 N6,225,0,0,1,Li1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
6086,6086,C6 Cs2 Fe1 Mg1 N6,225,0,0,1,Mg1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
8044,8044,H8 Cl6 N2 Re1,225,1,0,0,Re1,5d,"e_g{z2,x2-y2}",0,,
8054,8054,Cl10 K4 O1 Ru2,139,1,0,0,O1,-,"p{x,y}|{xz,yz}",0,,
8212,8212,O4 Tl2 W1,164,1,0,0,Tl1|Tl2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Tl,
9001,9001,F6 Fe1 K1 Rb2,225,0,0,1,K1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
9003,9003,Cs2 F6 Fe1 Na1,166,0,0,1,Fe1|Fe2,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
9021,605,H8 Cl6 N2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
9022,9022,Cl6 Rb2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
9023,9023,Cl6 Cs2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
9032,9032,C6 Cs2 Ir1 Li1 N6,225,0,0,1,Li1|Ir1,-|5d,"e_g{z2,x2-y2}",0,,
9315,9315,Cl6 Rb2 Te1,225,1,0,0,Te1,-,"e_g{z2,x2-y2}",1,Te,
9347,9347,Cl6 Mn1 Rb2,225,1,1,0,Mn1,3d,"e_g{z2,x2-y2}",0,,
9356,9356,Cr1 K3 O8,121,0,0,1,K1|Cr1,-|3d,"p{x,y}|{xz,yz}",0,,
9382,9382,Bi1 Cs2 F6 Na1,225,0,0,1,Na1|Bi1,-,"e_g{z2,x2-y2}",1,Bi,
9386,9386,Bi1 F6 Na1 Rb2,225,0,0,1,Na1|Bi1,-,"e_g{z2,x2-y2}",1,Bi,
9518,9518,C2 Mg1 Na2 O6,148,0,0,1,Mg1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
9532,9532,K1 Nb1 O3,99,1,0,0,K1|Nb1|O1,-|4d,"p{x,y}|{xz,yz}",0,,
9535,9532,K1 Nb1 O3,99,1,0,0,K1|Nb1|O1,-|4d,"p{x,y}|{xz,yz}",0,,
9676,9356,Cr1 K3 O8,121,0,0,1,K1|Cr1,-|3d,"p{x,y}|{xz,yz}",0,,
9679,9679,Cl6 K2 Mn1,225,1,0,0,Mn1,3d,"e_g{z2,x2-y2}",0,,
9701,9701,Co1 F6 Rb2,225,0,0,1,Co1,3d,"e_g{z2,x2-y2}",0,,
9702,9702,Co1 Cs2 F6,225,0,0,1,Co1,3d,"e_g{z2,x2-y2}",0,,
9705,9705,Cr1 Cs2 F6 K1,225,0,0,1,K1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
9706,9706,Cr1 F6 Na1 Rb2,225,0,0,1,Na1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
9707,9707,Cr1 F6 K1 Rb2,225,0,0,1,K1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
9708,9708,F6 Mn1 Na1 Rb2,139,0,0,1,Na1|Mn1,-|3d,"p{x,y}|{xz,yz}",1,,Mn3+
9865,9865,Co1 O1,225,1,0,0,Co1|O1,-|3d,"e_g{z2,x2-y2}",0,,
9866,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
9925,9925,F7 K3 Zn2,139,1,0,0,K1|F1,-,"p{x,y}|{xz,yz}",0,,
10051,10051,In2 Li3,166,1,0,0,Li1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
10179,1000,C6 Cs2 Fe1 Li1 N6,225,0,0,1,Li1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
10180,10180,C6 Cs2 Li1 Mn1 N6,225,0,0,1,Li1|Mn1,-|3d,"e_g{z2,x2-y2}",1,,Mn3+
10181,10181,C6 Co1 Cs2 Li1 N6,225,0,0,1,Li1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
10341,10341,Ba1 Cr1 F6,166,0,0,1,Ba1|Cr1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
10342,10342,Cr1 F6 Sr1,166,0,0,1,Sr1|Cr1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
10346,10346,Cd1 Cr1 F6,148,0,0,1,Cd1|Cr1,3d|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
10354,10354,H2 Li1 N1,82,0,0,1,Li1|Li2,-,"p{x,y}|{xz,yz}",0,,
10462,10462,Ca1 Co2 P2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
15108,15108,F6 Ni1 Pb1,148,1,0,0,Ni1|Pb1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Pb,
15169,15169,F3 Hg1 Rb1,221,1,0,0,Rb1|Hg1,-|5d,"e_g{z2,x2-y2}",0,,
15246,15246,Co1 F3 K1,221,1,0,0,Co1|K1,-|3d,"e_g{z2,x2-y2}",0,,
15372,15372,Cu1 F4 K2,139,1,0,0,Cu1,3d,"p{x,y}|{xz,yz}",1,,Cu2+
15373,15373,Cu2 F7 K3,139,1,0,0,K2|F2,-,"p{x,y}|{xz,yz}",1,,Cu2+
15423,15423,F3 K1 Mn1,221,1,1,0,K1|Mn1,-|3d,"e_g{z2,x2-y2}",0,,
15424,15424,F3 Fe1 K1,221,1,1,0,K1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
15425,15246,Co1 F3 K1,221,1,0,0,K1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
15453,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
15454,15454,Cl4 K2 O2 Os1,139,0,0,1,Os1,5d,"p{x,y}|{xz,yz}",0,,
15497,15497,C6 I6 O6 Re3,148,0,0,1,Re1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
15674,15674,Ba1 Ge4 O9,143,1,0,0,Ge1|Ge2|Ge3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
15772,15772,Cs2 F6 Mo1 Tl1,225,0,0,1,Tl1|Mo1,-|4d,"e_g{z2,x2-y2}",1,Tl,
15773,15773,F6 K1 Mo1 Rb2,225,0,0,1,K1|Mo1,-|4d,"e_g{z2,x2-y2}",0,,
15775,15775,F6 K1 Mo1 Tl2,225,1,1,0,K1|Mo1,-|4d,"e_g{z2,x2-y2}",1,Tl,
15776,15776,F6 Mo1 Na1 Tl2,225,1,1,0,Na1|Mo1,-|4d,"e_g{z2,x2-y2}",1,Tl,
15777,15777,F6 K2 Mo1 Na1,225,0,0,1,Na1|Mo1,-|4d,"e_g{z2,x2-y2}",0,,
15800,15800,B6 O13 Zn4,217,1,0,0,O1,-,"e_g{z2,x2-y2}",0,,
15961,15961,F3 Y1,221,0,0,1,F1,-,"e_g{z2,x2-y2}",0,,
16127,16127,Cu1 K2 N6 O12 Pb1,202,0,0,1,Pb1|Cu1,-|3d,"e_g{z2,x2-y2}",1,Pb,Cu2+
16254,16254,Ag1 Cs2 F4,139,1,1,0,Ag1,4d,"p{x,y}|{xz,yz}",0,,
16255,9003,Cs2 F6 Fe1 Na1,166,0,0,1,Fe1|Fe2,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
16458,16458,C8 K5 N8 Nb1,82,0,0,1,Nb1|K1,-|4d,"p{x,y}|{xz,yz}",0,,
16576,16576,Cd1 Cl4 Cs2,139,1,0,0,Cd1,4d,"p{x,y}|{xz,yz}",0,,
16621,1610,O3 Pb1 Ti1,99,1,0,0,Pb1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",1,Pb,
16640,16640,F6 Na1 Sb1,225,1,0,0,Sb1|Na1,-,"e_g{z2,x2-y2}",1,Sb,
16783,16783,Ag1 Cs2 F6 K1,225,0,0,1,K1|Ag1,-|4d,"e_g{z2,x2-y2}",0,,
16795,16795,F4 Pb1,139,1,0,0,Pb1,-,"p{x,y}|{xz,yz}",1,Pb,
16810,16810,O3 Re1,221,1,0,0,Re1,5d,"e_g{z2,x2-y2}",0,,
16826,15800,B6 O13 Zn4,217,1,0,0,O1,-,"e_g{z2,x2-y2}",0,,
16892,16892,F6 K2 Pt1,164,0,0,1,Pt1,5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
16899,16899,Na2 O11 Si4 Ti1,87,0,0,1,O1|O2,-,"p{x,y}|{xz,yz}",0,,
16959,16959,C6 Ag3 Co1 N6,162,1,0,0,Co1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
17007,17007,In2 Se3,166,1,0,0,Se1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
17046,17046,H4 Mg3 O9 Si2,157,1,0,0,O4|H2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
18007,18007,Mn1 S1,225,1,0,0,Mn1|S1,-|3d,"e_g{z2,x2-y2}",0,,
19075,19075,F6 Rb3 Tl1,139,1,0,0,Tl1|Rb1,-,"p{x,y}|{xz,yz}",1,Tl,
19076,19076,Cs3 F6 Tl1,139,1,0,0,Tl1|Cs1,-,"p{x,y}|{xz,yz}",1,Tl,
19077,19077,F6 Rb3 Y1,139,1,1,0,Y1|Rb1,-|4d,"p{x,y}|{xz,yz}",0,,
19078,19078,Cs3 F6 Y1,139,1,0,0,Y1|Cs1,-|4d,"p{x,y}|{xz,yz}",0,,
20191,20191,B1 Cd1 Li1 O3,174,1,0,0,B1|B2|B3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
20223,20223,Al3 B4 O12 Y1,155,1,0,0,Y1|B1,-|4d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
20275,20275,Ca1 O2,139,1,0,0,Ca1,-,"p{x,y}|{xz,yz}",0,,
20293,20293,O4 Sr2 Ti1,139,1,0,0,Ti1,3d,"p{x,y}|{xz,yz}",0,,
20294,20294,O7 Sr3 Ti2,139,1,1,0,Sr1|O1,-,"p{x,y}|{xz,yz}",0,,
20321,20321,N1 O1 Ta1,191,1,0,0,Ta1|O1,-|5d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
20572,20572,Al1 F4 Na1,123,1,0,0,Na1|Al1,-,"p{x,y}|{xz,yz}",0,,
20597,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
20748,20748,C2 Cd1 N2,215,1,0,0,Cd1|Cd2,4d,"e_g{z2,x2-y2}",0,,
20805,20805,Cs1 Li1 Mo1 O4,216,1,1,0,Cs1|Mo1|Li1,-|4d,"e_g{z2,x2-y2}",0,,
20835,20191,B1 Cd1 Li1 O3,174,1,0,0,B1|B2|B3,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
21054,21054,Ba2 F6 Zn1,139,1,0,0,Zn1,3d,"p{x,y}|{xz,yz}",0,,
21069,21069,K2 Ni1 O2,139,1,0,0,Ni1,3d,"p{x,y}|{xz,yz}",0,,
21072,21072,F4 Fe1 Rb1,123,1,0,0,Rb1|Fe1,-|3d,"p{x,y}|{xz,yz}",0,,
22096,22096,Cl6 K2 Tc1,225,1,0,0,Tc1,4d,"e_g{z2,x2-y2}",0,,
22109,6027,Al1 F6 K2 Na1,225,1,1,0,Na1|Al1,-,"e_g{z2,x2-y2}",0,,
22110,22110,Cs2 F6 K1 Mn1,139,0,0,1,K1|Mn1,-|3d,"p{x,y}|{xz,yz}",1,,Mn3+
22111,22111,Cu1 F6 K2 Na1,225,1,0,0,Na1|Cu1,-|3d,"e_g{z2,x2-y2}",0,,
22112,22112,F6 K2 Na1 Sc1,225,1,0,0,Na1|Sc1,-|3d,"e_g{z2,x2-y2}",0,,
22113,22113,F6 In1 K2 Na1,225,1,0,0,Na1|In1,-,"e_g{z2,x2-y2}",0,,
22114,22114,F6 K2 Na1 Tl1,225,1,1,0,Na1|Tl1,-,"e_g{z2,x2-y2}",1,Tl,
22118,22118,Cs2 F6 Na1 Tl1,225,1,1,0,Na1|Tl1,-,"e_g{z2,x2-y2}",1,Tl,
22199,22199,Cr1 F6 K2 Na1,225,0,0,1,Na1|Cr1,-|3d,"e_g{z2,x2-y2}",0,,
22200,22200,F6 Fe1 K2 Na1,225,0,0,1,Na1|Fe1,-|3d,"e_g{z2,x2-y2}",0,,
22392,22392,C2 N2 Zn1,215,1,0,0,Zn1|Zn2,3d,"e_g{z2,x2-y2}",0,,
22501,22501,Ca3 O5 Si1,160,0,0,1,Si1|Si2|Si3|O1|O2|O3|O4|O5|O6,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
23076,23076,O3 Sr1 Ti1,221,1,0,0,Sr1|Ti1,-|3d,"e_g{z2,x2-y2}",0,,
23081,23081,Ba1 Fe2 S4,87,1,0,0,Ba1,-,"p{x,y}|{xz,yz}",0,,
23167,23167,Cl3 Mn1 Tl1,221,1,0,0,Tl1|Mn1,-|3d,"e_g{z2,x2-y2}",1,Tl,
23183,23183,F4 K2 Mn1,139,1,0,0,Mn1,3d,"p{x,y}|{xz,yz}",0,,
23184,23183,F4 K2 Mn1,139,1,0,0,Mn1,3d,"p{x,y}|{xz,yz}",0,,
23204,10181,C6 Co1 Cs2 Li1 N6,225,0,0,1,Li1|Co1,-|3d,"e_g{z2,x2-y2}",0,,
23336,23336,Cu4 K1 S3,123,1,0,0,K1|S1,-,"p{x,y}|{xz,yz}",0,,
23430,22113,F6 In1 K2 Na1,225,1,0,0,Na1|In1,-,"e_g{z2,x2-y2}",0,,
23536,9356,Cr1 K3 O8,121,0,0,1,Cr1|K1,-|3d,"p{x,y}|{xz,yz}",0,,
23586,23586,C1 Ga1 Mn3,221,1,0,0,Ga1|C1,-,"e_g{z2,x2-y2}",0,,
23591,23591,H2 Mn1 O2,164,1,0,0,Mn1,3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
23653,23653,B2 Co2 Y1,139,1,0,0,Y1,4d,"p{x,y}|{xz,yz}",0,,
23743,23743,Ba1 O4 S1,216,0,0,1,Ba1|S1,-,"e_g{z2,x2-y2}",0,,
23744,23744,O4 S1 Sr1,216,0,0,1,Sr1|S1,-,"e_g{z2,x2-y2}",0,,
23758,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
23759,15453,Ba1 O3 Ti1,99,1,0,0,Ba1|Ti1|O1,-|3d,"p{x,y}|{xz,yz}",0,,
23769,23769,Cl6 K2 Re1,225,1,0,0,Re1,5d,"e_g{z2,x2-y2}",0,,
23770,23770,Br6 K2 Re1,225,1,0,0,Re1,5d,"e_g{z2,x2-y2}",0,,
23771,23771,Br6 K2 Pt1,225,1,0,0,Pt1,5d,"e_g{z2,x2-y2}",0,,
23929,23929,Co9 S8,225,1,0,0,Co1,3d,"e_g{z2,x2-y2}",0,,
23991,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
23997,2723,Cl4 K2 Pd1,123,1,0,0,Pd1,4d,"p{x,y}|{xz,yz}",0,,
23998,2722,Cl4 K2 Pt1,123,1,0,0,Pt1,5d,"p{x,y}|{xz,yz}",0,,
24014,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
24018,9866,Ni1 O1,225,1,0,0,Ni1|O1,-|3d,"e_g{z2,x2-y2}",0,,
24151,24151,Br6 Cs2 Te1,225,1,0,0,Te1,-,"e_g{z2,x2-y2}",1,Te,
24185,24185,Mn1 Nb1 Si1,189,1,0,0,Si2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
24252,24252,Mn1 Se1,216,1,0,0,Mn1|Se1,-|3d,"e_g{z2,x2-y2}",0,,
24360,5257,Fe1 Si2,123,1,0,0,Fe1,3d,"p{x,y}|{xz,yz}",0,,
24479,24479,Br3 Cs1 Hg1,221,1,1,0,Cs1|Hg1,-|5d,"e_g{z2,x2-y2}",0,,
24482,24482,Cl3 Cs1 Hg1,221,1,0,0,Cs1|Hg1,-|5d,"e_g{z2,x2-y2}",0,,
24523,5270,F2 Pb1,225,1,0,0,Pb1,-,"e_g{z2,x2-y2}",1,Pb,
24594,24594,Li1 O2 V1,166,1,0,0,Li1|V1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
24625,22501,Ca3 O5 Si1,160,0,0,1,Si1|Si2|Si3|O1|O2|O3|O4|O5|O6,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
24710,24710,Mg6 Mn1 O8,225,1,0,0,Mn1,3d,"e_g{z2,x2-y2}",0,,
24740,24740,F13 K1 Sb4,87,0,0,1,K1|F1,-,"p{x,y}|{xz,yz}",1,Sb,
24859,24859,In1 O8 Rb1 W2,164,1,1,0,Rb1|In1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
24982,24982,Ba2 Mg1 O6 W1,225,1,0,0,Mg1|W1,-|5d,"e_g{z2,x2-y2}",0,,
24983,24983,Ba2 O6 W1 Zn1,225,1,0,0,Zn1|W1,3d|5d,"e_g{z2,x2-y2}",0,,
24984,24984,Ba2 Ni1 O6 W1,225,1,0,0,Ni1|W1,3d|5d,"e_g{z2,x2-y2}",0,,
24985,24985,Ba2 Ca1 O6 W1,225,1,0,0,Ca1|W1,-|5d,"e_g{z2,x2-y2}",0,,
25005,25005,Ba2 Ni1 O6 Te1,166,1,1,0,Te1|Te2,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Te,
25015,25015,F6 Ni1 Sn1,148,0,0,1,Ni1|Sn1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
25016,25016,Cu1 F6 Sn1,148,0,0,1,Cu1|Sn1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,Cu2+
25324,25324,Co2 Ge1 Li1,225,1,1,0,Ge1|Li1,-,"e_g{z2,x2-y2}",0,,
25392,25392,Ba2 La1 O6 Re1,225,1,0,0,La1|Re1,-|5d,"e_g{z2,x2-y2}",0,,
25404,25404,O6 Re1 Sr2 Y1,225,1,0,0,Y1|Re1,4d|5d,"e_g{z2,x2-y2}",0,,
25511,25511,Hg1 Na2 O2,139,1,0,0,Hg1,5d,"p{x,y}|{xz,yz}",0,,
25519,25519,Cl4 O1 W1,79,1,0,0,W1|O1,-|5d,"p{x,y}|{xz,yz}",0,,
25522,25522,Ca1 F6 Pb1,225,1,0,0,Pb1|Ca1,-,"e_g{z2,x2-y2}",1,Pb,
25579,25579,F6 Mn1 Rb2,225,0,0,1,Mn1,3d,"e_g{z2,x2-y2}",0,,
25596,25596,F3 Nb1,221,1,0,0,Nb1,4d,"e_g{z2,x2-y2}",0,,
25615,25615,Al1 F4 Tl1,123,1,0,0,Tl1|Al1,-,"p{x,y}|{xz,yz}",1,Tl,
25723,25723,Cr1 K1 S2,166,1,0,0,Cr1|K1,-|3d,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
26111,604,Cl6 K2 Sn1,225,1,1,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
26228,16127,Cu1 K2 N6 O12 Pb1,202,0,0,1,Pb1|Cu1,-|3d,"e_g{z2,x2-y2}",1,Pb,Cu2+
