icsd,material_id,formula,space_group_number,curated,best,atomic,pass_sites,shells,doublet_kinds,chem_flag,lone_pair,jt_ions
158757,157550,Bi1 Ga1 O3,221,1,0,0,Ga1|Bi1,-,"e_g{z2,x2-y2}",1,Bi,
158758,158758,Bi1 In1 O3,221,1,0,0,In1|Bi1,-,"e_g{z2,x2-y2}",1,Bi,
158759,158759,Bi1 O3 Sc1,221,1,0,0,Sc1|Bi1,-|3d,"e_g{z2,x2-y2}",1,Bi,
158955,158955,Br6 K2 Sn1,225,1,0,0,Sn1,-,"e_g{z2,x2-y2}",1,Sn,
159117,54245,La1 Ni5,191,1,1,0,La1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
160108,160108,Si1 Sr1,123,1,0,0,Sr1|Si1,-,"p{x,y}|{xz,yz}",0,,
160172,160172,Ba2 O6 Ta1 Y1,225,1,0,0,Y1|Ta1,4d|5d,"e_g{z2,x2-y2}",0,,
160196,160196,Cr1 O3 Pb1,221,1,0,0,Pb1|Cr1,-|3d,"e_g{z2,x2-y2}",1,Pb,
160691,160691,C1 Cr2 La1 Si2,123,1,0,0,La1|C1,-,"p{x,y}|{xz,yz}",0,,
160705,160705,Co1 In1 Mn2,216,1,0,0,Mn1|Mn2|Co1|In1,-|3d,"e_g{z2,x2-y2}",0,,
160706,160706,Co1 Mn2 Si1,216,1,0,0,Mn1|Mn2|Co1|Si1,-|3d,"e_g{z2,x2-y2}",0,,
160707,160707,Co1 Ge1 Mn2,216,1,0,0,Mn1|Mn2|Co1|Ge1,-|3d,"e_g{z2,x2-y2}",0,,
160708,160708,Co1 Mn2 Sn1,216,1,0,0,Mn1|Mn2|Co1|Sn1,-|3d,"e_g{z2,x2-y2}",1,Sn,
160709,160709,Co1 Mn2 Sb1,216,1,0,0,Mn1|Mn2|Co1|Sb1,-|3d,"e_g{z2,x2-y2}",1,Sb,
160914,160914,H12 Fe5 La1,191,1,0,0,La1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
161017,10354,H2 Li1 N1,82,0,0,1,Li1|Li3,-,"p{x,y}|{xz,yz}",0,,
161077,161077,N1 Y1,216,1,0,0,Y1|N1,-|4d,"e_g{z2,x2-y2}",0,,
161109,103634,Fe1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161110,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161111,59435,In1 Ni1,191,1,1,0,In1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
161112,103634,Fe1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161113,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161114,59435,In1 Ni1,191,1,1,0,In1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",0,,
161115,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161116,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161117,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
161118,55564,Co1 Sn1,191,1,0,0,Sn1,-,"p{x,y}|{xy,x2-y2}|{xz,yz}",1,Sn,
