icsd,source,formula,spg,spg_symbol,M,X,priority,dim,motif,n_M_sites,angles_raw,angles_grouped,angle_min,angle_max,spread,d_MX,d_MX_mean,regime
173764,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
195422,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
196310,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
426752,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
426753,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
624867,ICSD (local cache),Co3 S2 Sn2,166,R-3m,Co,S,1,-1,EXCLUDED,9,,,,,,,,not-tetrahedral: fewer than 4 S neighbours
79091,ICSD (local cache),H10 Co1 O10 Se2,15,C2/c,Co,Se,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.38 A > cutoff 3.10 A (not bonded)
98686,ICSD (local cache),H4 Co1 K2 O10 Se2,2,P-1,Co,Se,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.44 A > cutoff 3.10 A (not bonded)
261204,ICSD (local cache),H4 Co1 N2 O4 S1,56,Pccn,Co,S,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.37 A > cutoff 2.93 A (not bonded)
98683,ICSD (local cache),H4 Co1 Na2 O10 Se2,2,P-1,Co,Se,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.48 A > cutoff 3.10 A (not bonded)
280044,ICSD (local cache),H6 Co1 N1 O5 P1,31,Pmn21,Co,P,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.31 A > cutoff 2.96 A (not bonded)
424548,ICSD (local cache),H6 Co1 N1 O5 P1,62,Pnma,Co,P,1,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.30 A > cutoff 2.96 A (not bonded)
75134,ICSD (local cache),H6 Co1 O8 Se2,14,P21/c,Co,Se,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 3.44 A > cutoff 3.10 A (not bonded)
415462,ICSD (local cache),H8 Cl2 Co1 O8 Se2,14,P21/c,Co,Se,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 Se neighbours
261585,ICSD (local cache),H8 Co1 K2 O16 P4,2,P-1,Co,P,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.30 A > cutoff 2.96 A (not bonded)
281336,ICSD (local cache),H8 Co1 O14 P2 V2,87,I4/m,Co,P,1,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 P neighbours
421807,ICSD (local cache),H8 Co1 O16 P4 Rb2,2,P-1,Co,P,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.31 A > cutoff 2.96 A (not bonded)
416650,ICSD (local cache),H8 Co1 O16 P4 Tl2,2,P-1,Co,P,1,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.31 A > cutoff 2.96 A (not bonded)
423230,ICSD (local cache),As1 Cu1 Mn1,129,P4/nmm,Cu,As,2,2,2D layer,2,97.41 97.41 115.82 115.82 115.82 115.82,97.41 x2; 115.82 x4,97.41,115.82,18.42,2.529 2.529 2.529 2.529,2.529,SPLIT-B
187596,ICSD (local cache),As1 Ni1 Rh1,129,P4/nmm,Ni,As,2,2,2D layer,2,98.31 98.31 115.32 115.32 115.32 115.32,98.31 x2; 115.32 x4,98.31,115.32,17.01,2.346 2.346 2.346 2.346,2.346,SPLIT-B
COD-1541349,COD,,,,Cu,P,2,2,2D layer,4,95.18 100.99 102.96 118.30 118.59 119.18,95.18 x1; 100.99 x1; 102.96 x1; 118.69 x3,95.18,119.18,24.0,2.274 2.320 2.397 2.500,2.373,OTHER
40435,ICSD (local cache),Ni4 P2 Zr1,136,P42/mnm,Ni,P,2,3,3D network,8,0.01 103.17 120.07 120.07 120.07 120.07,0.01 x1; 103.17 x1; 120.07 x4,0.01,120.07,120.06,2.253 2.254 2.275 2.275,2.264,OTHER
40435,ICSD (local cache),Ni4 P2 Zr1,136,P42/mnm,Ni,P,2,3,3D network,8,0.01 103.13 120.07 120.07 120.08 120.08,0.01 x1; 103.13 x1; 120.07 x4,0.01,120.08,120.07,2.253 2.254 2.276 2.276,2.265,OTHER
COD-1526196,COD,,,,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: square-planar / trans (max angle 180.0 deg)
COD-1527899,COD,,,,Cu,P,2,-1,EXCLUDED,18,,,,,,,,not-tetrahedral: fewer than 4 P neighbours
COD-4003029,COD,,,,Ni,P,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 5th neighbour at 2.28 A (coordination > 4)
COD-9000258,COD,,,,Ni,As,2,-1,EXCLUDED,8,,,,,,,,not-tetrahedral: 5th neighbour at 2.38 A (coordination > 4)
91551,ICSD (local cache),Al1 As1 Cu1 O5,14,P21/c,Cu,As,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.60 A > cutoff 2.89 A (not bonded)
61677,ICSD (local cache),As1 Cu1 O4 Pb1,2,P-1,Cu,As,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: fewer than 4 As neighbours
44030,ICSD (local cache),As1 Ni1 Rh1,129,P4/nmm,Ni,As,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.83 A > cutoff 2.79 A (not bonded)
601484,ICSD (local cache),As1 Ni1 Rh1,129,P4/nmm,Ni,As,2,-1,EXCLUDED,2,,,,,,,,not-tetrahedral: 4th neighbour at 2.88 A > cutoff 2.79 A (not bonded)
63058,ICSD (local cache),As2 Cu1 Na4 O8,2,P-1,Cu,As,2,-1,EXCLUDED,1,,,,,,,,not-tetrahedral: 4th neighbour at 3.27 A > cutoff 2.89 A (not bonded)
4287,ICSD (local cache),As2 Cu1 O4,135,P42/mbc,Cu,As,2,-1,EXCLUDED,4,,,,,,,,not-tetrahedral: 4th neighbour at 3.24 A > cutoff 2.89 A (not bonded)
