icsd,site_label,element,shell,site_sym_order,max_rot_order,orbit_conv,orbit_prim,d_doublets,p_doublets,doublet_kinds,n_phi,verdict,d_multiplets,lone_pair,jt_ions,chem_flag
66098,Li1,Li,-,1,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66098,Li2,Li,-,1,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66098,Li3,Li,-,3,3,2,2,xz+yz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(x2-y2+xy) 1(z2),,,0
66163,Bi1,Bi,-,6,3,2,2,xz+yz|xy+x2-y2,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(xz+yz) 2(xy+x2-y2) 1(z2),Bi,,1
66163,Co1,Co,3d,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,C1,C,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,O1,O,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,C2,C,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,O2,O,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,C3,C,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66163,O3,O,-,2,1,6,6,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),Bi,,1
66203,As1,As,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66203,N1,N,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66203,O1,O,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66203,H1,H,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66203,H2,H,-,2,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66204,As1,As,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66204,N1,N,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66204,O1,O,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66204,H1,H,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66204,H2,H,-,2,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66205,As1,As,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66205,N1,N,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66205,O1,O,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66205,H1,H,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66205,H2,H,-,2,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66206,As1,As,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66206,N1,N,-,4,2,4,2,xz+yz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(xz+yz) 1(xy) 1(x2-y2) 1(z2),,,0
66206,O1,O,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66206,H1,H,-,1,1,16,8,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,,0
66206,H2,H,-,2,2,8,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(z2) 1(yz),,,0
66277,Ni1,Ni,3d,16,4,2,1,yz+xz,x+y,"p{x,y}|{xz,yz}",2.0,PASS,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
66277,Rb1,Rb,-,8,4,4,2,yz+xz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
66277,O1,O,-,8,4,4,2,yz+xz,x+y,"p{x,y}|{xz,yz}",4.0,dilute,2(yz+xz) 1(xy) 1(x2-y2) 1(z2),,,0
66280,Rh1,Rh,4d,12,3,3,1,yz+xz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",2.0,PASS,2(yz+xz) 2(x2-y2+xy) 1(z2),,,0
66280,Na1,Na,-,12,3,3,1,yz+xz|x2-y2+xy,x+y,"p{x,y}|{xy,x2-y2}|{xz,yz}",2.0,PASS,2(yz+xz) 2(x2-y2+xy) 1(z2),,,0
66280,O1,O,-,6,3,6,2,yz+xz|xy+x2-y2,y+x,"p{x,y}|{xy,x2-y2}|{xz,yz}",4.0,dilute,2(yz+xz) 2(xy+x2-y2) 1(z2),,,0
66315,Mn1,Mn,3d,2,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66315,Na1,Na,-,2,1,2,2,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66315,Na2,Na,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66315,F1,F,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66315,F2,F,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66315,F3,F,-,1,1,4,4,,,,,FAIL,1(xz) 1(x2-y2) 1(xy) 1(yz) 1(yz),,Mn3+,1
66317,Tl1,Tl,-,3,3,4,4,yz+xy|z2+x2-y2,y+z,"e_g{z2,x2-y2}|other:y+z|{xy,yz}",8.0,dilute,2(yz+xy) 1(xz) 2(z2+x2-y2),Tl,,1
66317,Fe1,Fe,3d,3,3,4,4,yz+xy|z2+x2-y2,y+z,"e_g{z2,x2-y2}|other:y+z|{xy,yz}",8.0,dilute,2(yz+xy) 1(xz) 2(z2+x2-y2),Tl,,1
66317,N1,N,-,3,3,4,4,yz+xy|z2+x2-y2,y+z,"e_g{z2,x2-y2}|other:y+z|{xy,yz}",8.0,dilute,2(yz+xy) 1(xz) 2(z2+x2-y2),Tl,,1
66317,O1,O,-,3,3,4,4,yz+xy|z2+x2-y2,y+z,"e_g{z2,x2-y2}|other:y+z|{xy,yz}",8.0,dilute,2(yz+xy) 1(xz) 2(z2+x2-y2),Tl,,1
