jid,formula,spg,dim,band,W_band,M_trg,d_iso,nphi,gap_mean,unif_gap
JVASP-22441,Na3Cd2IrO6,12,3,40,0.19823877677715718,1.0824878993522447,0.20239123305116413,24.531139674953874,0.01184703986717316,0.06326867020909709
JVASP-22441,Na3Cd2IrO6,12,3,41,0.20645483828608224,1.0729157184857687,0.20239123305116413,24.126366490524667,0.01184703986717316,0.06326867020909709
JVASP-22600,RbS,71,3,1,0.22720277244605214,4.306054896893524,0.6332097901433404,9.199276640782788,0.001935043058110727,0.0012955151709711686
JVASP-22653,Sr3BiN,221,3,1,0.2988261376577297,2.8655996844156104,6.219071972111405,2.138039789024514,0.001947503633944615,0.004368099166304264
JVASP-22720,Ba2SbAu,225,3,1,0.46408980499469754,2.754649571153954,2.6241567147252662,6.865207573405096,0.004134579109101492,0.005328366925607148
JVASP-23440,Sr2AsAu,225,3,1,0.40493515332183794,2.5472389261439434,3.799877847784017,4.013895046891366,0.002555449971194267,0.006424486541548017
JVASP-26224,Na3In2Au,227,3,1,0.4917528625153027,0.8143505674862049,0.10219242588917155,49.201831680957504,0.003648759198441015,0.025249075359915402
JVASP-26325,AgSbO3,148,3,4,0.3874597394302268,1.4832041731943422,0.08804686339218082,34.79593679694213,0.0006466975171613167,0.012533815593379285
JVASP-26325,AgSbO3,148,3,5,0.38640441243849544,1.4836264440647038,0.08804686339218082,34.81485919150944,0.0006466975171613167,0.012533815593379285
JVASP-26528,Rb2IrF6,164,3,4,0.22067658303520865,0.5726415241525791,0.11930863164123906,16.101312116817528,0.04153791701155271,0.21645270528172886
JVASP-26528,Rb2IrF6,164,3,5,0.23896727003042884,0.5858659839347778,0.11930863164123906,16.122176065033724,0.04153791701155271,0.21645270528172886
JVASP-27330,Rb2Na4Co2O5,136,3,1,0.07853922875545383,0.4863938161358504,0.18131300511965964,10.635650771154447,0.003957100269269142,0.021109327972795747
JVASP-27330,Rb2Na4Co2O5,136,3,84,0.11945935115726147,0.5783742433798809,0.187937200221723,23.32940163380521,0.037419639117305066,0.06922040422068546
JVASP-27330,Rb2Na4Co2O5,136,3,85,0.11213291074688359,0.5648520917312605,0.187937200221723,22.797244734321346,0.037419639117305066,0.06922040422068546
JVASP-27330,Rb2Na4Co2O5,136,3,86,0.06250200804768768,0.5087443659565007,0.21161606287508938,6.7783055214682895,0.01568432524433313,0.05758324332549574
JVASP-27330,Rb2Na4Co2O5,136,3,87,0.05921420186839832,0.5355536798015494,0.21161606287508938,6.669892755137999,0.01568432524433313,0.05758324332549574
JVASP-27766,CrAgP2S6,13,2,148,0.19852081271820676,0.6014596057816869,0.21931672871938712,2.4668285661463925,0.142754745964543,0.02608169397955513
JVASP-27766,CrAgP2S6,13,2,149,0.054674124025705595,0.5974396246635651,0.21931672871938712,2.5302074502646845,0.142754745964543,0.02608169397955513
JVASP-27889,AgClO4,111,2,1,0.19885232339724546,0.9225997556408192,0.244021193489095,12.387831146395307,0.0024631593224784675,0.013761926156941594
JVASP-27906,CrClO,59,2,44,0.4983196893956148,1.8174151911623313,1.5771311684597078,2.242615336452096,0.09894790961955284,0.0011820736370286387
JVASP-27906,CrClO,59,2,45,0.4902041402024051,1.8188032691192242,1.5771311684597078,2.3071269478177565,0.09894790961955284,0.0011820736370286387
JVASP-27940,FePSe3,162,2,1,0.29512472391004607,0.2668395804571271,0.8235503023817401,14.630030993169983,0.0801048056050052,0.9271615570885149
JVASP-27940,FePSe3,162,2,2,0.22476227847145935,0.35328055298999805,0.47916619384615444,20.167704742454788,0.1067466591689349,0.9385135129146379
JVASP-27940,FePSe3,162,2,3,0.23116958775396057,0.3516959907729642,0.47916619384615444,20.119268707514507,0.1067466591689349,0.9385135129146379
JVASP-27940,FePSe3,162,2,14,0.256812251141751,0.28553251494960574,1.2536407649925625,14.024548258535399,0.09020297959139974,0.6265555923340418
JVASP-27940,FePSe3,162,2,15,0.29680513923200635,0.28553435181785625,1.2536407649925625,14.107853107436028,0.09020297959139974,0.6265555923340418
JVASP-27971,CoCl2O8,147,2,47,0.2011335870033113,0.8414633056279953,0.377445446192783,11.935366023223093,0.17934453653517873,0.03972246327237003
JVASP-27971,CoCl2O8,147,2,48,0.25443074023857015,0.7961243968981612,0.377445446192783,12.115558391538505,0.17934453653517873,0.03972246327237003
JVASP-27971,CoCl2O8,147,2,49,0.07705261692956267,0.5866099703929571,0.5078037556606292,4.833446491446494,0.11674192302093911,0.06059848326606184
JVASP-27971,CoCl2O8,147,2,50,0.14027860360867184,0.5765762468034297,0.5078037556606292,4.779755878918036,0.11674192302093911,0.06059848326606184
JVASP-27971,CoCl2O8,147,2,52,0.08338641388545476,0.5097397469292654,0.8949433704483987,5.5338467390304125,0.08795257344273838,0.19183390243409157
JVASP-27971,CoCl2O8,147,2,53,0.061688138402421266,0.5076647069709854,0.8949433704483987,5.617030508992603,0.08795257344273838,0.19183390243409157
JVASP-27971,CoCl2O8,147,2,54,0.4557498807823614,0.559395175544472,0.2775075273208839,10.28640220826938,0.2116527848473033,0.8231639372164237
JVASP-27971,CoCl2O8,147,2,55,0.49180725764654804,0.6032419998680627,0.2775075273208839,12.52846180127638,0.2116527848473033,0.8231639372164237
JVASP-27971,CoCl2O8,147,2,70,0.23878598365125558,0.19800761731046235,2.245519441510151,2.6232045991770465,0.39834033394015295,0.7270600471338399
JVASP-27982,ZnC2S2O6F6,147,2,82,0.29640654108947095,4.226824532261518,0.7577278389562171,9.732334850230881,0.003274549920134573,0.01496904777914573
JVASP-27982,ZnC2S2O6F6,147,2,83,0.289780012699395,4.230792065652272,0.7577278389562171,9.936476616938416,0.003274549920134573,0.01496904777914573
JVASP-28027,Bi4Te3S8,147,2,52,0.41911458566751136,1.704134141804514,0.11163949273382023,51.64440030660589,0.00110210140989762,0.010924664378583256
JVASP-28027,Bi4Te3S8,147,2,53,0.4179103710107501,1.705094173819167,0.11163949273382023,51.69343855226947,0.00110210140989762,0.010924664378583256
JVASP-28065,AgBiP2Se6,143,2,1,0.1834731816308306,1.3107320747629396,0.7750060077529923,34.10591777651029,0.000739408940135442,0.006494569836393718
JVASP-28065,AgBiP2Se6,143,2,2,0.11943429340859879,1.086935199949785,0.7750060077529923,31.582503549803562,0.001105686840526976,0.029218405917380775
JVASP-28065,AgBiP2Se6,143,2,3,0.11953505010895071,1.0872904785068704,0.7750060077529923,31.570245267446516,0.001105686840526976,0.029218405917380775
JVASP-28065,AgBiP2Se6,143,2,14,0.4981265049952075,1.6972266823639537,0.15233407724627135,41.48194053424375,0.0015116185883383326,0.006742281237211535
JVASP-28065,AgBiP2Se6,143,2,15,0.4919023409153045,1.6936498255234147,0.15233407724627135,41.6093766105949,0.0015116185883383326,0.006742281237211535
JVASP-28065,AgBiP2Se6,143,2,16,0.3402397749621713,0.8039312115320482,0.7954801243864829,32.516511965455216,0.009988520904046195,0.047683821002787646
JVASP-28065,AgBiP2Se6,143,2,17,0.34636614429682666,0.8035847323239742,0.7954801243864829,32.39064431724333,0.009988520904046195,0.047683821002787646
JVASP-28153,HgF,123,2,1,0.012067112457916807,1.4594390980617686,0.489684793068756,6.511022708725226,0.0012286952473237777,0.022399822482460828
JVASP-28153,HgF,123,2,2,0.06468239193291936,0.661280479906392,0.21777259869408283,12.184552158295821,0.0007379672780720059,0.1158308684690523
JVASP-28153,HgF,123,2,3,0.06442107198130387,0.6613821841476548,0.21777259869408283,12.198368011630734,0.0007379672780720059,0.1158308684690523
JVASP-28153,HgF,123,2,4,0.007872883803646147,0.6064529879635892,0.06128395744381443,9.99608500466379,0.0014455952702632602,0.0006120815683483392
JVASP-28153,HgF,123,2,5,0.0088605982864145,0.6066159524816949,0.06128395744381443,10.01130303015192,0.0014455952702632602,0.0006120815683483392
JVASP-28153,HgF,123,2,6,0.1533887185215015,1.4318260214138618,0.06128395744381443,9.670504501093252,0.004358803573539446,0.00020410139220496806
JVASP-28153,HgF,123,2,7,0.19256733221958378,1.4311060917362286,0.06128395744381443,9.670486135414382,0.004358803573539446,0.00020410139220496806
JVASP-28153,HgF,123,2,12,0.10457480228172855,1.1247592303851701,0.11750611359900809,11.143494574221453,0.0011059032150847637,0.0031692035698601797
JVASP-28153,HgF,123,2,13,0.09925803600956051,1.1250582857286018,0.11750611359900809,11.189504980585376,0.0011059032150847637,0.0031692035698601797
JVASP-28153,HgF,123,2,14,0.162318643748252,1.0360811969582855,0.05876257721500977,7.911488490966467,0.004780077874343455,0.00025528436864837554
JVASP-28153,HgF,123,2,15,0.19583276552455864,1.0352832208647236,0.05876257721500977,7.874136376593958,0.004780077874343455,0.00025528436864837554
JVASP-2817,K4IrO4,12,3,25,0.2217045064393215,0.7249269020574729,0.0781593675894181,10.558150829340667,0.3973553125349153,0.928015975080414
JVASP-2817,K4IrO4,12,3,26,0.10077754714456888,0.6081831731020036,0.0781593675894181,18.23367713030411,0.1801497381529132,0.5391177254903741
JVASP-2817,K4IrO4,12,3,26,0.10077754714456888,0.6081831731020036,0.09172228443342445,18.23367713030411,0.1801497381529132,0.5391177254903741
JVASP-2817,K4IrO4,12,3,27,0.11890891964577266,0.6069415979814163,0.09172228443342445,18.074983768977997,0.1801497381529132,0.5391177254903741
JVASP-2817,K4IrO4,12,3,27,0.11890891964577266,0.6069415979814163,0.0781593675894181,18.074983768977997,0.1801497381529132,0.5391177254903741
JVASP-2817,K4IrO4,12,3,28,0.23260219645206592,0.5720624118586557,0.0781593675894181,13.717873132705451,0.3139061150471507,0.3657985075828803
JVASP-2817,K4IrO4,12,3,28,0.23260219645206592,0.5720624118586557,0.09172228443342445,13.717873132705451,0.3139061150471507,0.3657985075828803
JVASP-2817,K4IrO4,12,3,29,0.13757762069719437,0.5540174019915403,0.09172228443342445,16.790069122896362,0.35409041453837575,0.674784934338599
JVASP-2817,K4IrO4,12,3,30,0.13250321333152648,0.5706155437110139,0.2316251766129529,16.951437684986146,0.1941033617156972,0.16811979749899886
JVASP-2817,K4IrO4,12,3,31,0.24799251242257414,0.5459040374957023,0.2316251766129529,13.03190265774148,0.1941033617156972,0.16811979749899886
JVASP-28223,FeC2O6,147,2,42,0.23425171183823235,0.9583617742429453,0.44270209595595933,10.408106326144853,0.12094727134070242,0.020405488484349275
JVASP-28223,FeC2O6,147,2,43,0.21484467487477144,0.9596084843058461,0.44270209595595933,10.101458632353726,0.12094727134070242,0.020405488484349275
JVASP-28223,FeC2O6,147,2,44,0.3672584326537822,0.856011451046319,0.6331245356362203,7.818331623414532,0.22265908949465094,0.04536860733522289
JVASP-28223,FeC2O6,147,2,45,0.31571360307285623,0.8557425205040841,0.6331245356362203,7.3112530893198775,0.22265908949465094,0.04536860733522289
JVASP-31361,PdSe6Cl2,2,2,1,0.23426192379346844,2.322600783270054,0.2946344497936586,18.76942162141899,0.0055986505534823625,0.004825904960012556
JVASP-31361,PdSe6Cl2,2,2,6,0.10864806382582692,0.4175516281994621,0.28007606619440395,19.032514025858237,0.0032071961202614742,0.02617762480516304
JVASP-31361,PdSe6Cl2,2,2,7,0.10548637245963377,0.4158504315811925,0.28007606619440395,18.950593772197685,0.0032071961202614742,0.02617762480516304
JVASP-31377,NbBr2O,25,2,44,0.15160054734863282,1.2195090691695176,0.7861312042937869,13.933060780389273,0.003943864016365378,0.002715480811278852
JVASP-31377,NbBr2O,25,2,45,0.15608571848559283,1.2202835927003999,0.7861312042937869,13.899051186698868,0.003943864016365378,0.002715480811278852
JVASP-34485,ZrCoF6,225,3,41,0.20670012407458405,0.7252976717427241,0.25868035737431905,3.042298335120022,0.07767406541313812,0.006351720173935558
JVASP-34485,ZrCoF6,225,3,42,0.24034984754431832,0.7256507784104907,0.25868035737431905,4.078680812275585,0.07767406541313812,0.006351720173935558
JVASP-34485,ZrCoF6,225,3,44,0.40922856232917626,0.3699918393445883,0.7291879575881717,3.0035600657965,0.2837609972400462,0.005132669157368522
JVASP-34485,ZrCoF6,225,3,45,0.4210624265628411,0.36856957382066236,0.7291879575881717,2.402387552840864,0.2837609972400462,0.005132669157368522
JVASP-34818,NiPb2N6O12,225,3,134,0.10519494464283596,0.35283176975858527,4.797374314234959,1.3766657039883186,0.0036316637138010554,0.2932439639727833
JVASP-35289,TbInPt4,216,3,70,0.20986027679438024,0.8305551961771451,0.05140151440813767,1.899998258121015,0.028935333276924328,0.008612666166395477
JVASP-35414,ZnPd5Se,123,3,1,0.4466283206744386,0.3840778843866746,6.5475425078226115,1.2152286549433944,0.000520014234896406,0.04258703676807357
JVASP-35528,CdAg2I4,121,3,8,0.3347579441614914,2.846633292860905,0.1438662917889586,31.99671566451708,0.013887419184623365,0.006586500924929384
JVASP-35528,CdAg2I4,121,3,9,0.333993015971052,2.86152046001858,0.1438662917889586,31.593925886349655,0.013887419184623365,0.006586500924929384
JVASP-35707,HfPt3,221,3,46,0.4243573749844458,0.3510626004154359,3.755653177916635,2.037903047222816,0.029831747864814143,0.031089256800526592
JVASP-35832,Ca2H3Br,164,3,1,0.3413828600247726,0.11257980783485565,9.244645462704938,1.0504636724376963,0.00035539683514806915,0.2877937076288442
JVASP-36449,Sr3BiP,221,3,2,0.04283953051632139,0.009242157725521625,1.4088403342137665,1.0126946271435324,0.005402178763794548,0.8126502846823205
JVASP-36449,Sr3BiP,221,3,3,0.042949326139098076,0.009244050839661557,1.4088403342137665,1.0127030883252848,0.005402178763794548,0.8126502846823205
