jid,formula,band,norb,dim,M_naive,M_min,ratio,centres,status
JVASP-17890,Tb3PbC,20,64,3,0.12229183675500273,0.11014041128390162,0.9006358413321973,minus,OK
JVASP-17890,Tb3PbC,21,64,3,0.12025633837825578,0.11007999013595496,0.9153778638237595,minus,OK
JVASP-18176,Rb2RhF6,70,72,3,0.0720429095150558,0.017983803586210233,0.24962628116028418,minus,OK
JVASP-18176,Rb2RhF6,71,72,3,0.07023812623290397,0.017383834073584705,0.24749854539030997,minus,OK
JVASP-18522,Ba3PbO,0,50,3,2.556001912968965,2.5350624101745076,0.9918077123932451,minus,OK
JVASP-18522,Ba3PbO,1,50,3,2.5559423514531936,2.5349134103454274,0.9917725291825107,minus,OK
JVASP-19540,CNCl,0,20,2,0.8661168873103102,0.8729007230413269,1.007832471379335,minus,OK
JVASP-19540,CNCl,1,20,2,0.8661166104762538,0.872908528869281,1.0078418059541574,minus,OK
JVASP-19557,PtS2Cl6,0,60,2,0.1766844745680636,0.24848958583539676,1.4064030608398017,minus,OK
JVASP-19557,PtS2Cl6,1,60,2,0.17674478638022095,0.24850964355076183,1.406036628521292,minus,OK
JVASP-19557,PtS2Cl6,44,60,2,1.6987741728975698,1.6908534104774327,0.9953373658803472,minus,OK
JVASP-19557,PtS2Cl6,45,60,2,1.6986269909874223,1.690694700342227,0.9953301750841812,minus,OK
JVASP-19557,PtS2Cl6,46,60,2,1.0566134029694325,1.0374825145365176,0.9818941455984272,minus,OK
JVASP-19557,PtS2Cl6,47,60,2,1.0565149357080548,1.037374130142486,0.9818830714847007,minus,OK
JVASP-19557,PtS2Cl6,58,60,2,1.2591931938223864,1.2919080317701206,1.0259807931842655,minus,OK
JVASP-19557,PtS2Cl6,59,60,2,1.2592021818941435,1.2919722908666627,1.0260245014213882,minus,OK
JVASP-19584,Tl2SnAs2S6,4,76,2,5.52531919185712,5.451824874094429,0.9866986294889529,minus,OK
JVASP-19584,Tl2SnAs2S6,5,76,2,5.525309269788169,5.451832336749179,0.9867017519832322,minus,OK
JVASP-19584,Tl2SnAs2S6,44,76,2,1.4709125035280026,1.3471047947247419,0.9158293178511255,minus,OK
JVASP-19584,Tl2SnAs2S6,45,76,2,1.4715372129825313,1.3473585530981984,0.9156129666387125,minus,OK
JVASP-19584,Tl2SnAs2S6,74,76,2,1.879974745568536,1.8040782741676102,0.9596289941767417,minus,OK
JVASP-19584,Tl2SnAs2S6,75,76,2,1.8616595705674341,1.7843967977918311,0.9584979047742583,minus,OK
JVASP-19759,TbSe,22,24,3,0.10497814723951437,nan,nan,no,NO_CENTRES
JVASP-19759,TbSe,23,24,3,0.10393326131960216,nan,nan,no,NO_CENTRES
JVASP-19850,HgSe,0,26,3,0.9608266004391779,0.9684988828550678,1.0079850853550298,minus,OK
JVASP-19850,HgSe,1,26,3,0.961051998420013,0.9687031920935667,1.0079612691988908,minus,OK
JVASP-20002,Bi,14,16,2,2.8624774304055816,2.704274919142033,0.9447323113946324,minus,OK
JVASP-20002,Bi,15,16,2,2.861600050795159,2.703383207515909,0.9447103576772422,minus,OK
JVASP-20017,MnI2,24,28,2,1.5653348082887235,1.513537331443228,0.9669096498900946,minus,OK
JVASP-20017,MnI2,25,28,2,1.509139379735268,1.449958516350946,0.9607850247770333,minus,OK
JVASP-20035,Rb3Mo2Cl9,0,114,2,0.29376509231867287,0.2951731573972236,1.0047931667695333,minus,OK
JVASP-20035,Rb3Mo2Cl9,1,114,2,0.27980264933790333,0.2855048558435423,1.0203793871113518,minus,OK
JVASP-20035,Rb3Mo2Cl9,58,114,2,0.2677853688042389,0.27711601820808507,1.0348437610520356,minus,OK
JVASP-20035,Rb3Mo2Cl9,59,114,2,0.3051553479536322,0.30779690207009874,1.0086564241268612,minus,OK
JVASP-20035,Rb3Mo2Cl9,63,114,2,0.2916378566083704,0.2873189086471072,0.9851907155967651,minus,OK
JVASP-20035,Rb3Mo2Cl9,64,114,2,0.2796316934463623,0.2753119369718543,0.9845519782780395,minus,OK
JVASP-20040,KrF2,2,20,2,1.0121689327958778,1.059104709224736,1.0463714849449184,minus,OK
