jid,formula,spg_number,spg_symbol,dimensionality,icsd,mp_id,num_wann,num_bands,optb88vdw_bandgap,zip,zip_bytes,n_files_in_zip,has_hr_dat,hr_dat_name,hr_dat_bytes,has_win,has_wout,has_eig,has_poscar,figshare_article,error,metadata_source
JVASP-18299,TiNiSn,216,F-43m,3D,"54259,657175",mp-22782,32,58,0.0,JVASP-18299.zip,5429231,12,True,wannier90_hr.dat,27189952,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18311,SmBi,225,Fm-3m,3D,"44129,617131,108125,617126",mp-22873,24,45,0.0,JVASP-18311.zip,3702515,12,True,wannier90_hr.dat,15583603,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18315,LiBi,123,P4/mmm,3D,"616780,58796",mp-22902,10,30,0.0,JVASP-18315.zip,1085402,12,True,wannier90_hr.dat,3648755,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18316,DyBi,225,Fm-3m,3D,"616632,58778,616629",mp-22907,24,45,0.0,JVASP-18316.zip,4024463,12,True,wannier90_hr.dat,15295552,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18322,NaBi,123,P4/mmm,3D,"58816,616837",mp-22924,16,42,0.0,JVASP-18322.zip,1770764,12,True,wannier90_hr.dat,7260534,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18338,Bi,166,R-3m,3D,"64704,64705,53797,246663,616519,616526,616527,64703",mp-23152,16,32,0.0,JVASP-18338.zip,1846814,12,True,wannier90_hr.dat,6645891,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18340,SrBi3,221,Pm-3m,3D,"58858,617156",mp-23159,36,56,0.0,JVASP-18340.zip,4215569,12,True,wannier90_hr.dat,22228199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18345,BaBi3,221,Pm-3m,3D,"58634,615782",mp-23201,36,56,0.0,JVASP-18345.zip,4217543,12,True,wannier90_hr.dat,22228199,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18353,ErBi,225,Fm-3m,3D,"656440,616641,58781",mp-23245,24,43,0.0,JVASP-18353.zip,4006360,12,True,wannier90_hr.dat,15353162,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
JVASP-18364,InBi,129,P4/nmm,3D,"616705,616707,150595,1252,1253,1254,1255,602728,602739,602738,1251,602740,106325,107640,107641,107642,58790,616703",mp-23313,32,60,0.0,JVASP-18364.zip,3556256,12,True,wannier90_hr.dat,17563399,True,True,True,True,JARVIS-DFT Wannier 3D materials (JVASP-5 to JVASP-28500),,JARVIS-DFT dft_3d/dft_2d
