num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
120,Cr3O8,C2/m,12,Triv.,no,,,,FM,,,1,155848,
121,LiH3As2O7,C2/m,12,Triv.,no,,,,NM,,HQ,1,172988,
122,MgBr2(H2O)6,C2/m,12,Triv.,no,,,,NM,,HQ,1,189844,
123,Br6Si2,C2/m,12,Triv.,no,,,,NM,,,1,239354,
124,Br4Nb,C2/m,12,Triv.,no,,,"b,s",NM,,,1,239640,
125,Li2CrCl4,C2/m,12,Triv.,no,,,b,FM,,HQ,1,403035,
126,BaAu2(SO4)4,C2/m,12,Triv.,no,,,b,NM,,HQ,1,427677,
127,ReSCl3,C2/m,12,Triv.,no,,,"b,s",,,,1,429458,
128,Li4N1,C2/m,12,Triv.,no,,,,,,,1,675129,
129,AgPdZr2F11,C2/m,12,Triv.,no,,,,FM,,HQ,1,65181,
130,NaPd(Zr2F11),C2/m,12,Triv.,no,,,,FM,,HQ,1,77241,
131,NaCo(Zr2F11),C2/m,12,SM,no,,,,FM,,HQ,1,81221,
132,NaNi(Zr2F11),C2/m,12,Triv.,no,,,,FM,,HQ,1,81222,
133,NaZn(Zr2F11),C2/m,12,Triv.,no,,,,NM,,HQ,1,81223,
134,CaC2,C2/m,12,Triv.,no,,,,NM,,HQ,23,54185 54188 94385 252719 252725 252728 252731 252740 252743 252746 252749 252752 252755 252758 252761 252764 252767 252770 252773 252776 290833 411190 672970,
135,Mg(CrO4),C2/m,12,Triv.,no,,,b,NM,,,1,18120,
136,Ag3In(PO4)2,C2/m,12,Triv.,no,,,b,NM,,HQ,1,245001,
137,Ga2O3,C2/m,12,Triv.,no,,,b,NM,,HQ,6,34243 83645 166198 184327 603563 673058,
138,Al2O3,C2/m,12,Triv.,no,,,b,NM,,HQ,2,82504 673079,
139,La6I5Ge3,C2/m,12,SM,no,,,b,,,HQ,1,414175,
140,YCl(MoO4),C2/m,12,Triv.,no,,,b,NM,,HQ,1,249647,
141,K2Na(Ag(CN)2)3,C2/m,12,Triv.,yes,Fig. 27,27,"k∗,b",NM,,HQ,0,,
142,Pb2O(SO4),C2/m,12,Triv.,no,,,,NM,,HQ,8,59723 59724 59725 59726 14246 29268 30627 35757,"14246(b,s) 29268(b,s)"
143,Pb2O(WO4),C2/m,12,Triv.,no,,,,NM,,,1,61399,
144,Pb2Co(WO6),C2/m,12,SM,no,,,"b,s",AFM,,HQ,1,77912,
145,TlFeS2,C2/m,12,Triv.,no,,,,NM,,,2,30011 63381,
146,TlFeS2,C2/m,12,TI,no,,,,NM,,,2,600815 659748,
147,Ba3Y2PtCu2O10,C2/m,12,TI,no,,,"b,s",NM,,HQ,1,62390,
148,Y2Ba3Cu2PtO10,C2/m,12,TI,no,,,"b,s",NM,,HQ,1,65614,
149,Y5Mo2O12,C2/m,12,SM,yes,Fig. 27,27,b,FM,,HQ,2,60957 62215,
150,K(H2PO4),P2/c,13,Triv.,yes,Fig. 28,28,,NM,,HQ,1,79341,
151,RbLi2Ga2(BO3)3,P2/c,13,Triv.,no,,,b,NM,,HQ,1,280205,
152,Na(CN)(H2O)2,P21/c,14,Triv.,no,,,,NM,,,3,830 2244 16765,
153,Li(NH4)(PO3F),P21/c,14,Triv.,no,,,,NM,,,1,1439,
154,Li2(SO4),P21/c,14,Triv.,no,,,b,NM,,HQ,4,2512 58 23723 30276,
155,B2F4,P21/c,14,Triv.,no,,,,NM,,,7,27867 31823 647640 190632 673316 84848 190631,31823(s) 647640(s) 673316(s) 84848(s) 190631(s)
156,WO3,P21/c,14,Triv.,no,,,b,NM,,,7,14332 17003 16080 80056 50727 80057 190630,14332(s) 17003(s) 80056(s) 190630(s)
157,Cs(HSO4),P21/c,14,Triv.,no,,,,NM,,HQ,5,67108 39252 91808 291375 291374,
158,Mo(As2O7),P21/c,14,Triv.,no,,,"b,s",NM,,,1,72518,
159,Cu(HSeO3)2(H2O)2,P21/c,14,SM,no,,,,FM,,,1,80932,
160,Cd(MoO2)(PO4),P21/c,14,Triv.,no,,,b,FM,,,1,82090,
161,(HCONH2)2(Cu(HCOO)2),P21/c,14,SM,no,,,,FM,,,2,109973 194113,
162,Pb2Cu(BO3)2,P21/c,14,SM,no,,,b,FM,,HQ,7,155317 15805 24270 159550 30893 30895 34163,"15805(b,s) 24270(b) 30893(b) 30895(b) 34163(b)"
163,Mg(SiO3),P21/c,14,Triv.,no,,,,NM,,,6,92750 159551 159552 159553 180445 196432,92750(b) 159551(b) 159552(b) 159553(b) 180445(b) 196432(b)
164,Sn2(P2O7),P21/c,14,Triv.,no,,,,NM,,HQ,2,201535 170847,201535(b)
165,K2(SeMoO6),P21/c,14,Triv.,no,,,,NM,,,1,412999,
166,OsOF4,P21/c,14,Triv.,no,,,,NM,,HQ,1,417246,
167,KAgAsS2,P21/c,14,Triv.,yes,Fig. 28,28,,,,,1,431760,
168,Na2TeO3,P21/c,14,Triv.,no,,,,NM,,,1,100693,
169,ScOF,P21/c,14,Triv.,no,,,b,NM,,HQ,16,24112 100562 100563 100564 963 16616 24640 79550 79551 79552 79553 79555 79554 81096 196150 245074,963(b) 16616(b) 79553(b) 79555(b) 81096(b) 196150(b) 245074(b)
170,Ca2(SiO4),P21/c,14,Triv.,no,,,,NM,,HQ,6,245075 245076 245077 245078 245079 245080,245075(b) 245076(b) 245077(b) 245078(b) 245079(b) 245080(b)
171,Cu(HSeO3)2,P21/c,14,SM,no,,,,FM,,HQ,4,421708 280995 51676 29538,421708(b) 280995(b) 51676(b)
172,Cu(OH)Cl,P21/c,14,TI,no,,,,FM,,HQ,1,38384,
173,Cu(OH)Cl,P21/c,14,TI,no,,,,FM,,HQ,1,91088,
174,Cs2(As2F8O2),P21/c,14,Triv.,no,,,,NM,,HQ,1,6070,
175,K2(W2O7),P21/c,14,Triv.,no,,,"b,s",NM,,HQ,1,67284,
176,KCuCl3,P21/c,14,Triv.,no,,,,FM,,HQ,3,15590 109325 252663,
177,Cu(AlAsO5),P21/c,14,Triv.,no,,,b,NM,,,1,91551,
178,VO2,P21/c,14,Triv.,no,,,b,FM,,,6,15889 34033 74705 602360 647604 647610,
179,Na2(Ni(H2O)2)(V2O4F6),P21/c,14,Triv.,no,,,,FM,,,1,424345,
180,Na2(PdF4),P21/c,14,Triv.,no,,,b,NM,,HQ,2,33889 71101,
181,CuSb2O6,P21/c,14,SM,no,,,b,FM,,,4,30410 71762 80576 628623,628623(s)
182,Y(NiO3),P21/c,14,Triv.,no,,,b,FM,,HQ,4,88043 89417 92047 191790,
183,K2(Pt(CN)4I2),P21/c,14,Triv.,no,,,,NM,,HQ,1,413706,
184,Rb2(Pt(CN)4I2),P21/c,14,Triv.,no,,,,NM,,HQ,1,421673,
185,XeF4,P21/c,14,Triv.,no,,,,NM,,HQ,2,26626 27467,
186,VF4,P21/c,14,SM,no,,,"b,s",FM,,,1,65785,
187,Ag(AuF4)2,P21/c,14,SM,no,,,"b,s",FM,,HQ,1,85416,
188,Na4Sn3F10,C2/c,15,Triv.,no,,,b,NM,,,1,9891,
189,V2O4(H2O)2,C2/c,15,SM,no,,,,FM,,,1,16727,
190,V(S2)2,C2/c,15,Triv.,no,,,,NM,,,3,16797 64770 428285,
191,Na2(Nb4O11),C2/c,15,Triv.,no,,,b,,,,1,18305,
192,Li2Cu(P2O7),C2/c,15,SM,no,,,b,FM,,HQ,2,72485 160321,
193,((CH3)2NH2)(Cu(HCOO)3),C2/c,15,SM,no,,,,FM,,,2,110500 151227,
194,PbPd2O4,C2/c,15,Triv.,yes,Fig. 28,28,b,NM,,HQ,1,263050,
195,K(Cl3(MoOCl2)2),C2/c,15,Triv.,no,,,b,FM,,HQ,1,410954,
196,Ag4CuTeO6,C2/c,15,SM,no,,,b,FM,,HQ,1,416931,
197,(NH4)2(MoO2S2),C2/c,15,Triv.,no,,,,NM,,HQ,2,41688 423990,
198,BaCu(SeO3)2,C2/c,15,SM,no,,,"b,s",FM,,HQ,1,202388,
199,SrCu(SeO3)2,C2/c,15,SM,no,,,"b,s",FM,,HQ,1,202389,
200,Cs2MoO2S2,C2/c,15,Triv.,no,,,,NM,,HQ,2,423982 423983,
201,Rb2MoO2S2,C2/c,15,Triv.,no,,,,NM,,HQ,1,423992,
202,Cs(Sb2F7),C2/c,15,Triv.,no,,,,NM,,,2,14119 24741,
203,Cu(H2PO2)2(CO(NH2)2),C2/c,15,SM,no,,,,FM,,,3,279589 279590 279591,279589(b)
204,Cu2(P4O12),C2/c,15,TI,no,,,b,FM,,,1,23756,
205,(N2H5)(BF4),C2/c,15,Triv.,no,,,,NM,,,2,9895 245055,
206,Na2Cu(P2O7),C2/c,15,SM,no,,,b,FM,,HQ,2,79868 80418,
207,CaNi(BP2O7(OH)3),C2/c,15,Triv.,no,,,,FM,,,1,409898,
208,LaCu2O4,C2/c,15,SM,no,,,"b,s",,,HQ,1,83486,
209,YCu2O4,C2/c,15,SM,yes,Fig. 28,28,"b,s",,,HQ,1,83493,
210,NiZn(P4O12),C2/c,15,Triv.,no,,,b,FM,,,1,37137,
211,La(MnO3),C2/c,15,Triv.,no,,,"b,s",FM,,HQ,1,150258,
212,VOSb2O4,C2/c,15,SM,no,,,b,FM,,HQ,2,2292 27800,
213,Sr3CuPtO6,C2/c,15,SM,no,,,"b,s",FM,,HQ,2,66347 72721,
214,(VO)(PO3)2,C2/c,15,SM,no,,,b,FM,,HQ,4,39762 160942 160943 160944,
