num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
555,Sr2MnMoO6,I4/m,87,SM,yes,Fig. 31,31,"b,s",FM,,HQ,1,187669,
556,Sr2CoWO6,I4/m,87,SM,yes,Fig. 31,31,"b,s",AFM,,,2,190593 245470,
557,Sr2CoNbO6,I4/m,87,Triv.,yes,Fig. 32,32,"b,s",,,,1,192327,
558,Sr2CoOsO6,I4/m,87,SM,no,,,"b,s",FM,,HQ,2,236435 236436,
559,Sr2Li(ReO6),I4/m,87,Triv.,no,,,"b,s",NM,,,2,418991 246730,418991(k)
560,InK(C2O4)2(H2O)4,I41/a,88,Triv.,no,,,,NM,,,1,99956,
561,Y(Pd2O4),I41/a,88,SM,no,,,b,NM,,HQ,1,78846,
562,PbPd2O4,I41/a,88,Triv.,yes,Fig. 32,32,b,NM,,HQ,1,263049,
563,TlTlCl4,I41/a,88,Triv.,no,,,b,NM,,HQ,4,4031 15586 15869 18135,15586(b) 15869(b) 18135(b)
564,Ca(WO4),I41/a,88,Triv.,no,,,,NM,,HQ,13,60547 60548 60549 60550 60551 77335 155423 155791 157428 193047 193491 291535 671942,60547(b) 60548(b) 60549(b) 60550(b) 60551(b) 155423(b) 155791(b) 157428(b) 193047(b) 193491(b) 291535(b) 671942(b)
565,Ca(MoO4),I41/a,88,Triv.,no,,,,NM,,,15,22351 23699 60552 60553 60554 60555 60556 60557 60558 62219 77334 183446 183447 193793 194078,22351(b) 23699(b) 60552(b) 60553(b) 60554(b) 60555(b) 60556(b) 60557(b) 60558(b) 62219(b) 183447(b) 193793(b) 194078(b)
566,Zr(GeO4),I41/a,88,Triv.,no,,,b,NM,,HQ,3,194079 417513 29262,194079(b) 417513(b)
567,Hf(GeO4),I41/a,88,Triv.,no,,,"b,s",NM,,HQ,1,202080,
568,YNbO4,I41/a,88,Triv.,no,,,,NM,,,12,239208 239209 430917 430918 430919 430920 430921 430922 162766 162767 162768 186801,
569,Bi2ZnTiO6,P4mm,99,Triv.,no,,,"b,s",NM,,,0,,
570,BiFeO3,P4mm,99,SM,no,,,"b,s",AFM,,,2,188467 188466,
571,LaCoO3,P4mm,99,SM,no,,,"b,s",,,,1,673191,
572,La1Fe1O3,P4mm,99,SM,no,,,"b,s",,,,1,673196,
573,BaSiO3,P4mm,99,Triv.,no,,,"b,s",,,,1,674089,
574,BiAlO3,P4mm,99,Triv.,no,,,"b,s",,,,2,674105 673462,
575,RbWNO2,P4mm,99,Triv.,no,,,"b,s",,,,1,674128,
576,Sb2N2O,P4mm,99,Triv.,no,,,,,,,1,674157,
577,YTlO2S,P4mm,99,Triv.,no,,,,,,,1,674170,
578,CaSnO2S,P4mm,99,Triv.,no,,,,,,,1,674175,
579,HfMgO2S,P4mm,99,Triv.,no,,,,,,,1,674184,
580,YAlO2S,P4mm,99,Triv.,no,,,"b,s",,,,1,674195,
581,GeAlO2F,P4mm,99,Triv.,no,,,"b,s",,,,1,674205,
582,KSiO2F,P4mm,99,Triv.,no,,,"b,s",,,,1,674212,
583,GeGaO2F,P4mm,99,Triv.,no,,,,,,,1,674223,
584,RbSiO2F,P4mm,99,Triv.,no,,,"b,s",,,,1,674238,
585,SrZrO3,P4mm,99,Triv.,no,,,"b,s",,,,2,674926 188449,
586,YBaCuFeO5,P4mm,99,SM,no,,,"b,s",FM,,,4,67978 71355 87466 241398,67978(l) 241398(l)
587,Pb(TiO3),P4mm,99,Triv.,no,,,"b,s",NM,,,30,1610 1611 1612 51838 16621 31152 51839 51841 51840 55054 55055 55056 55057 55058 55059 55060 55061 60188 61169 61168 90693 162044 93553 161709 162046 162045 162048 165498 186727 236933,"51838(k) 51839(k,l) 51841(k,l) 61169(k) 162044(k) 162046(k) 165498(k)"
588,K(NbO3),P4mm,99,Triv.,no,,,"k∗,b,s,l∗",NM,,,3,9532 9535 190921,
589,Ba(TiO3),P4mm,99,Triv.,no,,,"b,s",NM,,,15,161340 161418 168763 183932 185407 186457 186458 186459 188644 192889 189381 190835 237105 237107 237108,"161340(l) 161418(l) 183932(k,l) 185407(k,l) 186457(k,l) 192889(l) 237105(k) 237107(k) 237108(k)"
590,Sr(HfO3),P4mm,99,Triv.,no,,,"b,s,l∗",NM,,,11,245944 245945 245946 252558 253030 248395 253245 290023 671606 673334 161594,"245944(k,l) 245945(k,l) 245946(k,l) 252558(l) 253030(k,l) 253245(k,l) 290023(k,l) 671606(k,l) 673334(k)"
591,La1Mn1O3,P4mm,99,Triv.,yes,Fig. 32,32,,,,,1,673198,
592,CaHfO3,P4mm,99,Triv.,no,,,"b,s",,,,1,674068,
593,CaTiO3,P4mm,99,Triv.,no,,,"b,s",,,,1,674096,
594,KWNO2,P4mm,99,Triv.,no,,,"b,s",,,,1,674127,
595,ZnAlO2F,P4mm,99,Triv.,no,,,b,,,,1,674207,
596,KSnO2F,P4mm,99,Triv.,no,,,"b,s",,,,1,674215,
597,(VO)3(AsO3)2,P4bm,100,SM,yes,Fig. 33,33,b,FM,,HQ,1,424067,
598,Ba2(TiO)(Si2O7),P4bm,100,Triv.,no,,,b,NM,,,9,4451 15715 34453 66628 66629 155316 201844 201845 672977,66628(s) 66629(s)
599,Ba2(VO)(Si2O7),P4bm,100,SM,no,,,b,FM,,HQ,2,51479 98722,
600,K2(Zn6O7),P42nm,102,Triv.,no,,,b,NM,,,2,1120 2496,
601,LiSr4Si4N8F,P4nc,104,Triv.,no,,,"b,s",,,,1,432269,
602,Cu(Sb2O4),P42bc,106,SM,no,,,b,FM,,HQ,1,190731,
603,Sr2SbMnO6,I4mm,107,Triv.,no,,,"b,s",,,HQ,2,39351 190647,
604,SrCu2(BO3)2,I4cm,108,Triv.,no,,,b,FM,,HQ,1,247206,
605,Ca5Ge3,I4cm,108,SM,no,,,,NM,,,1,181076,
606,Li8SeN2,I41md,109,Triv.,no,,,,NM,,HQ,3,247255 247256 421252,
607,ZnGa2S4,P4̄2m,111,Triv.,no,,,b,NM,,,1,635300,
608,CdTeMoO6,P4̄21m,113,Triv.,no,,,b,NM,,HQ,2,93794 188038,
609,Ca(FeO2),P4̄21m,113,Triv.,no,,,,FM,,HQ,2,246244 674880,
610,Ca(FeO2),P4̄21m,113,TI,no,,,"b,s",AFM,,HQ,1,246245,
611,Ca2Zn(Si2O7),P4̄21m,113,Triv.,no,,,b,NM,,HQ,3,30262 186944 18114,30262(s) 186944(s)
612,Ca2Be(Si2O7),P4̄21m,113,Triv.,no,,,"b,s",NM,,HQ,2,31234 94063,
613,Sr2Zn(Ge2O7),P4̄21m,113,Triv.,no,,,"b,s",NM,,HQ,4,39159 251824 420521 670006,
614,Ba2Cu(Ge2O7),P4̄21m,113,SM,no,,,"b,s",FM,,,1,77132,
615,Sr2Mn(Ge2O7),P4̄21m,113,SM,no,,,"b,s",AFM,,HQ,1,84033,
616,Ca2Co(Si2O7),P4̄21m,113,SM,no,,,b,AFM,,HQ,4,94135 94137 94132 94139,94135(s) 94137(s)
617,Ba2Cu(Si2O7),P4̄21m,113,SM,no,,,"b,s",FM,,HQ,1,97762,
618,K2Fe(P2O7),P4̄21m,113,Triv.,no,,,,,,HQ,1,191281,
619,K2Cu(P2O7),P4̄21m,113,SM,no,,,b,FM,,HQ,1,191282,
620,Sr2Co(Ge2O7),P4̄21m,113,SM,no,,,"b,s",AFM,,HQ,2,262398 262399,
621,Ba2Co(Si2O7),P4̄21m,113,SM,no,,,"b,s",AFM,,HQ,1,281293,
622,Ba2Co(Ge2O7),P4̄21m,113,SM,no,,,"b,s",AFM,,HQ,4,290483 290484 423350 423351,
623,Ba2Zn(Ge2O7),P4̄21m,113,Triv.,no,,,"b,s",NM,,HQ,1,420550,
624,YBa2CuCu2O6,P4̄m2,115,TI,no,,,"b,s",,,,1,63423,
625,Pb2OF2,P4̄m2,115,Triv.,no,,,b,NM,,,1,76964,
626,Mo2CuGa5,P4̄m2,115,Triv.,no,,,,,,,1,670138,
627,SiO2,P4̄c2,116,Triv.,no,,,"b,s",NM,,,1,170532,
628,K(NbF6),P4̄c2,116,Triv.,no,,,"b,s",NM,,,1,16729,
629,K(BiF6),P4̄c2,116,Triv.,no,,,"b,s",NM,,,1,25025,
630,SiO2,P4̄n2,118,Triv.,no,,,"b,s",NM,,,1,170511,
631,RbMnSe2,I4̄m2,119,Triv.,no,,,"b,s",FM,,HQ,1,50819,
632,BaCu(Si2O6),I4̄m2,119,Triv.,no,,,b,,,HQ,1,74633,
633,KMnS2,I4̄m2,119,Triv.,no,,,"b,s",,,,1,672264,
634,KMnSe2,I4̄m2,119,Triv.,no,,,"b,s",,,,1,672265,
635,KMnTe2,I4̄m2,119,Triv.,no,,,"b,s",,,,2,672266 87983,
636,RbMnTe2,I4̄m2,119,Triv.,no,,,"b,s",FM,,HQ,1,87984,
637,KAgO,I4̄m2,119,Triv.,no,,,b,,,HQ,3,24818 37324 188525,
638,KCuO,I4̄m2,119,Triv.,no,,,,NM,,HQ,2,37325 188522,
639,NaAgO,I4̄m2,119,Triv.,no,,,b,NM,,HQ,2,49752 188524,
640,NaCuO,I4̄m2,119,Triv.,no,,,b,NM,,HQ,2,49756 188521,
641,SrCu2(BO3)2,I4̄c2,120,Triv.,no,,,b,,,HQ,1,247205,
642,(Ag(XeF2)2)(PF6),I4̄c2,120,Triv.,no,,,"b,s",,,HQ,1,412662,
643,SrCu2(BO3)2,I4̄2m,121,Triv.,no,,,b,FM,,HQ,5,247061 247200 247201 247202 247204,
644,AgFe2GaTe4,I4̄2m,121,Triv.,no,,,,FM,,HQ,1,192470,
645,K(H2PO4),I4̄2d,122,Triv.,no,,,b,NM,,HQ,4,66079 30257 76195 87895,
646,Cs2(V4O9),I4̄2d,122,Triv.,no,,,b,AFM,,HQ,1,79409,
647,CO2,I4̄2d,122,Triv.,no,,,"b,s",NM,,,3,188890 290503 674668,
648,AgAlS2,I4̄2d,122,Triv.,no,,,,NM,,,4,28744 604692 604694 604698,
649,KCoO2,I4̄2d,122,SM,no,,,"b,s",FM,,,1,4199,
650,SiS2,I4̄2d,122,Triv.,no,,,"b,s",NM,,HQ,5,16952 291214 291215 291216 291217,
651,CaF2,P4/mmm,123,Triv.,no,,,,NM,,,1,51237,
652,CsLaNb2O7,P4/mmm,123,Triv.,no,,,"b,s",NM,,HQ,1,82378,
653,Ba(TiO3),P4/mmm,123,SM,no,,,b,NM,,,1,109327,
654,MgNiH,P4/mmm,123,SM,no,,,b,NM,,,1,187257,
655,CsV2OS2,P4/mmm,123,SM,no,,,"b,s,l",FM,,,1,430299,
656,CaFeO2,P4/mmm,123,SM,no,,,"b,s,l",,,,2,674881 173438,
657,AlMn,P4/mmm,123,SM,no,,,,FM,,,2,57969 608456,
658,CdPt,P4/mmm,123,SM,no,,,,NM,,,5,102052 102053 620293 620295 620296,
659,HgPt,P4/mmm,123,SM,no,,,,NM,,,1,104337,
660,HgBa2CuO4,P4/mmm,123,SM,no,,,"b,s,l",NM,SC,,5,75720 75721 75722 75723 75724,
661,Bi2YO4Cl,P4/mmm,123,Triv.,no,,,b,NM,,HQ,1,92405,
662,Bi2YO4Br,P4/mmm,123,Triv.,no,,,b,NM,,HQ,1,92418,
663,LaCr2Si2C,P4/mmm,123,SM,no,,,"b,s,l",FM,,,1,160691,
664,BaPd2As2,P4/mmm,123,SM,no,,,,NM,,,2,36376 190705,
665,Cs2(MnF5),P4/mmm,123,Triv.,no,,,,FM,,HQ,1,69675,
666,K2(AlF5),P4/mmm,123,Triv.,no,,,,NM,,,1,81864,
667,Rb2(MnF5),P4/mmm,123,Triv.,no,,,,FM,,HQ,1,82218,
668,KCu4S3,P4/mmm,123,SM,no,,,,NM,SC,HQ,3,602358 23336 602356,"602358(b,s)"
669,(CuCl)LaTa2O7,P4/mmm,123,SM,no,,,"b,s",FM,,HQ,1,51261,
670,InPd3,P4/mmm,123,SM,no,,,,NM,,,1,59476,
671,MnRh2Sb,P4/mmm,123,SM,yes,Fig. 33,33,,FM,,,1,76202,
672,Cu2NiZn,P4/mmm,123,TI,no,,,,NM,,,1,103079,
673,AlNi3,P4/mmm,123,SM,no,,,,,,,1,107862,
674,Pd3Tl,P4/mmm,123,SM,no,,,,,,,1,108675,
675,Pd3V,P4/mmm,123,SM,no,,,k∗,FM,,,1,108677,
676,Pt3Al,P4/mmm,123,SM,no,,,k∗,NM,,,2,109235 191186,
677,Pt3In,P4/mmm,123,SM,no,,,k∗,NM,,,1,109236,
678,FeNiN,P4/mmm,123,SM,no,,,b,FM,,,1,53505,
679,PdO,P4/mmm,123,TI,no,,,,NM,,,1,28837,
680,FeSe,P4/mmm,123,SM,no,,,,FM,,,2,53543 633467,
681,FeSi2,P4/mmm,123,TI,no,,,,FM,,HQ,5,5257 24360 633533 633544 633550,
682,FeSi2,P4/mmm,123,TI,no,,,,FM,,,1,5258,
683,Hg2Rh,P4/mmm,123,SM,no,,,,NM,,,1,106786,
684,HgMn,P4/mmm,123,SM,no,,,,FM,,,1,104323,
685,HgNi,P4/mmm,123,SM,no,,,,NM,,,2,104332 639119,
686,NbRu,P4/mmm,123,SM,no,,,,NM,,,2,105222 645296,
687,NiZn,P4/mmm,123,SM,no,,,,NM,,,3,105469 647134 647137,
688,RuTa,P4/mmm,123,SM,no,,,,NM,,,4,105995 105996 650691 650692,
689,AuMn,P4/mmm,123,SM,no,,,,FM,,,1,109349,
690,SrSi,P4/mmm,123,SM,no,,,,,,,1,160108,
691,MgNi,P4/mmm,123,TI,no,,,,NM,,,1,187255,
692,K2(PdBr4),P4/mmm,123,Triv.,no,,,,NM,,HQ,4,1982 2722 23998 37014,2722(b) 23998(b) 37014(b)
693,K2PtCl4,P4/mmm,123,Triv.,no,,,,NM,,HQ,4,37015 68767 60110 68768,37015(b) 68767(b) 68768(b)
694,K2PdCl4,P4/mmm,123,Triv.,no,,,,NM,,HQ,7,65034 65035 39852 65036 68769 73505 73506,65034(b) 65035(b)
695,K2PtBr4,P4/mmm,123,Triv.,no,,,,NM,,HQ,1,6063,
696,Cs2(PdCl4),P4/mmm,123,Triv.,no,,,,NM,,HQ,1,95813,
697,NaAlF4,P4/mmm,123,Triv.,no,,,"b,s,l",NM,,,1,20572,
698,Rb(FeF4),P4/mmm,123,SM,no,,,"b,s,l",FM,,,1,21072,
699,Tl(AlF4),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,,4,25615 200637 202453 202454,
700,LaNiO2,P4/mmm,123,SM,no,,,"b,s,l",FM,,,2,47123 153058,
701,SrFeO2,P4/mmm,123,SM,no,,,"b,s,l",AFM,,HQ,4,173434 418603 418605 418606,
702,KCuF3,P4/mmm,123,SM,no,,,"k∗,b,s,l",,,,1,27689,
703,K(CrF3),P4/mmm,123,Triv.,no,,,"b,s,l",FM,,,1,27690,
704,Ba(TiO3),P4/mmm,123,Triv.,no,,,"k∗,b,s,l",NM,,,24,27965 27966 27967 27968 27969 27974 28620 29146 29148 29280 31884 31885 31886 31887 31888 31889 31890 67519 187292 674386 28584 28585 28586 28587,
705,Na(NbO3),P4/mmm,123,Triv.,no,,,"k∗,b,s,l",NM,,,0,,
706,Pb(TiO3),P4/mmm,123,Triv.,no,,,"b,s,l",,,,2,29117 28624,29117(k)
707,Tl(CuF3),P4/mmm,123,SM,no,,,"b,s,l",,,,1,43457,
708,Rb(CuF3),P4/mmm,123,SM,no,,,"b,s,l",,,,1,109293,
709,CsAuCl3,P4/mmm,123,SM,no,,,"k∗,b,s,l",NM,,HQ,1,417373,
710,SrGaO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674208,
711,BaAlO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674211,
712,RbHfO2F,P4/mmm,123,Triv.,no,,,"b,s",,,,1,674219,
713,YBaMn2O5,P4/mmm,123,SM,no,,,"b,s",AFM,,HQ,1,83690,
714,LaBaMn2O6,P4/mmm,123,SM,no,,,"k∗,b,s,l∗",FM,,HQ,1,150703,
715,LaRu2Al2B,P4/mmm,123,TI,no,,,"b,s,l",NM,,HQ,1,174342,
716,CsCa2(Ta3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,HQ,1,89011,
717,RbSr2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,1,93674,
718,CsSr2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC,HQ,1,93675,
719,CsBa2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,2,93676 671284,
720,CsSr2(Ta3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,,HQ,1,93677,
721,RbCa2(Nb3O10),P4/mmm,123,Triv.,no,,,"b,s,l",NM,SC∗,HQ,1,260289,
722,CsBa2Ta3O10,P4/mmm,123,Triv.,no,,,"b,s,l",,,,1,671285,
723,RbLa(Ta2O7),P4/mmm,123,Triv.,no,,,"b,s",NM,,HQ,1,81870,
724,TlYBa2Cu2O7,P4/mmm,123,TI,no,,,"b,s,l∗",NM,SC∗,HQ,1,74163,
725,Ba2YCu3O6,P4/mmm,123,TI,no,,,"b,s",NM,SC∗,HQ,16,63269 63424 66903 67016 68008 68046 68290 72254 84739 203116 75725 75726 75727 75728 75729 83087,
726,HgBa2CaCu2O6,P4/mmm,123,TI,no,,,"b,s,l∗",NM,SC,,0,,
727,SiO2,P4/nbm,125,SM,no,,,,NM,,,1,170502,
728,SiO2,P4/nbm,125,TI,yes,Fig. 33,33,"b,s",NM,,,1,170538,
729,RbAg5Se3,P4/nbm,125,SM,no,,,,NM,,HQ,1,50738,
730,K8(Tl10Zn),P4/nnc,126,SM,no,,,,NM,,,1,165614,
731,SiO2,P4/nnc,126,SM,no,,,,NM,,,1,170503,
732,SiO2,P4/nnc,126,Triv.,no,,,,NM,,,1,170537,
733,Rb2IN3,P4/mbm,127,Triv.,no,,,,NM,,HQ,1,202077,
734,Cs2V3O8,P4/mbm,127,SM,no,,,"b,s",,,,1,239713,
735,Mn2Hg5,P4/mbm,127,SM,no,,,,,SC,,2,670164 104324,
736,NaO2,P4/mbm,127,SM,no,,,,,,,1,673261,
737,Ti3Co5B2,P4/mbm,127,SM,no,,,,NM,,,1,20140,
738,Mn2Ga5,P4/mbm,127,SM,no,,,,FM,SC∗,HQ,3,249632 634613 634639,
739,Cs3(GeF7),P4/mbm,127,Triv.,yes,Fig. 33,33,,NM,,HQ,1,202917,
740,K(AlF4),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,5,16413 60524 201947 201948 201949,
741,Rb(AlF4),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,3,200638 54120 54121,200638(l)
742,Rb(FeF4),P4/mbm,127,SM,no,,,"b,s",FM,,HQ,1,85499,
743,(PbCl2)(Pb(CO3)),P4/mbm,127,TI,no,,,,,,,1,38358,
744,KCuF3,P4/mbm,127,SM,no,,,b,FM,,HQ,2,21110 21111,"21110(s,l)"
745,Na(TaO3),P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,4,23322 88377 239692 280101,23322(l) 280101(l)
746,Na(NbO3),P4/mbm,127,Triv.,no,,,"b,s",NM,,,4,23563 192406 236892 280100,23563(l) 192406(l)
747,NaMgF3,P4/mbm,127,Triv.,no,,,"b,s,l∗",NM,,HQ,1,193088,
748,BaPtLa2O5,P4/mbm,127,Triv.,no,,,"b,s",NM,,HQ,2,68794 670385,
749,FeMo2B2,P4/mbm,127,SM,no,,,,FM,,,2,5431 44292,
750,W2FeB2,P4/mbm,127,SM,no,,,,FM,,,1,43016,
751,InNi2Sc2,P4/mbm,127,SM,no,,,,NM,,HQ,1,107333,
752,FeNb2B2,P4/mbm,127,SM,no,,,,FM,,,1,614047,
753,Li2Sr4N8Si4O,P4/mnc,128,Triv.,no,,,"b,s",NM,,,1,420677,
754,Na3ScF6,P4/mnc,128,Triv.,no,,,"b,s",,,,1,671947,
755,K2(TeBr6),P4/mnc,128,Triv.,no,,,,NM,,,2,37270 65117,
756,Tl2(TeBr6),P4/mnc,128,Triv.,no,,,,NM,,HQ,1,99127,
757,WO3,P4/nmm,129,Triv.,yes,Fig. 33,33,"b,s",NM,,,5,27961 27962 89092 88367 673313,27961(l) 27962(l) 88367(k) 673313(k)
758,VSe,P4/nmm,129,SM,no,,,,NM,,,1,162898,
759,CrSe,P4/nmm,129,Triv.,no,,,,FM,,,1,162899,
760,WH4,P4/nmm,129,Triv.,no,,,,NM,,,2,247601 247602,
761,HfCd,P4/nmm,129,Triv.,no,,,,NM,,,1,619964,
762,AgLa(TiO4),P4/nmm,129,Triv.,no,,,"b,s",NM,,,1,78719,
763,Sr2NiO3Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,1,237581,
764,Ba2Pb4Br2F10,P4/nmm,129,Triv.,no,,,,NM,,,1,411087,
765,Ba2Pb4I2F10,P4/nmm,129,Triv.,no,,,,NM,,,1,411088,
766,BaNiS2,P4/nmm,129,TI,no,,,,NM,,,2,15289 246945,
767,K(CoO2),P4/nmm,129,TI,no,,,,FM,,,1,15770,
768,CsLiBr2,P4/nmm,129,Triv.,no,,,,NM,,,2,40479 245979,
769,BaHfN2,P4/nmm,129,Triv.,no,,,,NM,,,7,50994 184052 184053 184054 184055 184056 184057,
770,Ba(ZrN2),P4/nmm,129,Triv.,no,,,,NM,,,2,74904 74905,
771,BaCoS2,P4/nmm,129,SM,no,,,,FM,,,1,82639,
772,CsAgCl2,P4/nmm,129,Triv.,no,,,,NM,,,1,150300,
773,CsAgBr2,P4/nmm,129,Triv.,no,,,,NM,,,1,150302,
774,SrNiS2,P4/nmm,129,TI,no,,,,,,,1,673416,
775,Ir2YSi2,P4/nmm,129,SM,no,,,,NM,,,5,44668 181770 188325 641031 641036,
776,Sr2Sb2Se4F2,P4/nmm,129,Triv.,no,,,,NM,,,1,171430,
777,Bi2OS2,P4/nmm,129,Triv.,no,,,,NM,SC,,1,196230,
778,Ca2Ge2Ni2H2,P4/nmm,129,SM,no,,,,NM,,,1,263028,
779,CsMnF4,P4/nmm,129,Triv.,no,,,"b,s",FM,,,1,14104,
780,Fe2As,P4/nmm,129,SM,no,,,,FM,,,5,16844 415628 610464 610470 610472,
781,KNaO,P4/nmm,129,Triv.,no,,,,NM,,,1,32743,
782,FeLiP,P4/nmm,129,SM,no,,,,NM,SC,,8,42327 247089 632441 247248 42750 607972 607974 657172,
783,MnAlGe,P4/nmm,129,TI,no,,,,FM,,,0,,
784,MnVAs,P4/nmm,129,SM,no,,,,FM,,,1,44009,
785,NiRhAs,P4/nmm,129,SM,no,,,,NM,,,3,44030 187596 601484,
786,MgMnGe,P4/nmm,129,SM,no,,,,FM,,,5,66952 66948 66953 87116 87117,66952(b) 87116(b) 87117(b)
787,CaMnSn,P4/nmm,129,SM,no,,,,FM,,,3,66958 66959 66950,66958(b) 66959(b)
788,MnFeAs,P4/nmm,129,TI,no,,,,FM,,,3,93237 93238 610492,
789,CoLiAs,P4/nmm,129,SM,no,,,,NM,,,1,107932,
790,LiFeAs,P4/nmm,129,SM,no,,,,FM,SC,,7,162056 162250 163870 166457 290700 610480 169175,
791,LiFeP,P4/nmm,129,TI,no,,,,NM,,,1,166456,
792,CoMnSb,P4/nmm,129,SM,no,,,,FM,,,4,248374 248375 248376 248377,
793,MgCoGe,P4/nmm,129,SM,no,,,,NM,,,1,418853,
794,MnCuAs,P4/nmm,129,SM,no,,,,FM,,,1,423230,
795,GaMnGe,P4/nmm,129,SM,no,,,,FM,,,2,634253 634255,
796,Fe(MoO4)Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,4,49516 202186 202187 202188,
797,FeWO4Cl,P4/nmm,129,SM,no,,,"b,s",AFM,,,1,80798,
798,FeSe,P4/nmm,129,SM,no,,,,NM,SC∗,,24,26889 162901 163559 163560 163561 163562 165958 165959 165960 169970 182544 185464 196297 196298 977901 977903 42977 43391 81087 182249 182250 238590 633302 182251,
799,FeS,P4/nmm,129,Triv.,no,,,,NM,SC,,0,,
800,FeTe,P4/nmm,129,SM,no,,,,FM,,,2,44753 169974,
801,MnSe,P4/nmm,129,SM,no,,,,FM,,,1,162900,
802,CoSe,P4/nmm,129,SM,no,,,,FM,,,1,162902,
803,FeSe,P4/nmm,129,TI,no,,,,NM,,,11,169253 169255 169257 169259 169261 169263 169265 169267 169269 169271 290701,
804,FeTe,P4/nmm,129,TI,no,,,,FM,SC∗,,2,180602 633877,
805,FeSe,P4/nmm,129,Triv.,no,,,,FM,,,1,633480,
806,K(MoO(PO4)Cl),P4/nmm,129,SM,no,,,b,FM,,,1,50988,
807,Na2(TiO)(GeO4),P4/nmm,129,Triv.,no,,,"b,s",NM,,,3,20129 91546 160148,
808,Li2(VO)(SiO4),P4/nmm,129,SM,no,,,b,AFM,,,12,417277 59359 417276 417278 417280 417279 417281 417282 417283 417284 417285 417286,417277(s) 417278(s) 417280(s)
809,Ag3Cl(CrO4),P4/nmm,129,Triv.,no,,,b,NM,,,1,409541,
810,LiMnP,P4/nmm,129,SM,no,,,,FM,,,1,26458,
811,LiMnAs,P4/nmm,129,SM,no,,,,FM,,,12,26459 60739 60740 60741 60742 192817 192818 192819 192820 192821 192822 192823,
812,LiMnSb,P4/nmm,129,SM,no,,,,FM,,,1,642150,
813,TiSe,P4/nmm,129,SM,no,,,,NM,,,1,162897,
814,SnO,P4/nmm,129,SM,no,,,,NM,,,1,185350,
815,BaBrF,P4/nmm,129,Triv.,no,,,,NM,,,10,1129 2294 35393 155005 5037 30287 31132 39165 82884 155010,
816,PbFCl,P4/nmm,129,Triv.,no,,,,NM,,,0,,
817,PbFBr,P4/nmm,129,Triv.,no,,,,NM,,,3,5038 30288 155011,
818,BiOF,P4/nmm,129,Triv.,no,,,,NM,,,2,24096 201620,
819,BiOCl,P4/nmm,129,Triv.,no,,,,NM,,,5,24608 29143 74502 195115 185970,
820,CaHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25601 37199,
821,SrHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25602 37200,
822,BaHCl,P4/nmm,129,Triv.,no,,,,NM,,,2,25603 37201,
823,NaMnP,P4/nmm,129,SM,no,,,,FM,,,0,,
824,NaMnAs,P4/nmm,129,SM,no,,,,FM,,,21,26460 60726 60727 60728 60729 601595 26461 60730 60731 60732 610878 26462 60733 60734 60735 601596 29145 5036 24610 185972 391354,
825,NaMnSb,P4/nmm,129,SM,no,,,,FM,,,0,,
826,BiOI,P4/nmm,129,Triv.,no,,,,NM,,,0,,
827,YOCl,P4/nmm,129,Triv.,no,,,,NM,,,2,31667 60586,
828,KMgSb,P4/nmm,129,Triv.,no,,,,NM,,,1,41709,
829,RbMnSb,P4/nmm,129,SM,no,,,,FM,,,3,41868 643395 643396,
830,CsMnSb,P4/nmm,129,SM,no,,,,FM,,,3,41869 627027 627028,
831,KMnP,P4/nmm,129,SM,no,,,,FM,,,3,41882 89592 89593,
832,KMnAs,P4/nmm,129,SM,no,,,,FM,,,8,41883 60743 60744 60745 42370 66964 66965 615891,
833,MnBaGe,P4/nmm,129,SM,no,,,,FM,,,0,,
834,CaMnGe,P4/nmm,129,SM,no,,,,FM,,,3,66957 52758 66956,66957(b)
835,MnSrGe,P4/nmm,129,SM,no,,,,FM,,,3,53707 66960 66961,
836,NaMnBi,P4/nmm,129,SM,no,,,,FM,,,5,60736 60737 60738 601587 616814,
837,CaMnSi,P4/nmm,129,SM,no,,,,FM,,,3,66949 66954 66955,
838,SrMnSn,P4/nmm,129,SM,no,,,,FM,,,3,66951 66962 66963,
839,LaMnSi,P4/nmm,129,SM,no,,,,FM,,,4,75046 75047 85849 641449,
840,MnYSi,P4/nmm,129,TI,no,,,,FM,,,2,76235 643705,
