num,formula,space_group_symbol,space_group_number,topology_at_Ef,is_top_candidate,best_figure,best_figure_number,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,material_id,verification,icsd_ids_verified,n_icsd_verified,site_formula,site_space_group_number
64,As2O3,P2,3,Triv.,no,,,,,,HQ,6,238656 238657 238658 238659 238660 238661,,238656,matched,238656 238657 238658 238659 238660 238661,6,As2 O3,3
65,Na2(ZnSi3O8),P21,4,Triv.,no,,,"b,s",NM,,HQ,3,924 20114 200440,,924,matched,924 20114 200440,3,Na2 O8 Si3 Zn1,4
66,CaCuO2,P21,4,Triv.,no,,,"b,s",NM,,,1,84868,,84868,matched,84868,1,Ca1 Cu1 O2,4
67,BaCu2Cl2(Te2O6),P21,4,Triv.,no,,,b,FM,,HQ,1,85786,,85786,matched,85786,1,Ba1 Cl2 Cu2 O6 Te2,4
68,PbCu2(TeO3)2Cl2,P21,4,Triv.,no,,,b,FM,,HQ,1,189155,,189155,matched,189155,1,Cl2 Cu2 O6 Pb1 Te2,4
69,SrCu2(TeO3)2Cl2,P21,4,Triv.,no,,,b,FM,,HQ,1,416653,,416653,matched,416653,1,Cl2 Cu2 O6 Sr1 Te2,4
70,Cu(IO3)2,P21,4,SM,no,,,"b,s",FM,,HQ,1,4327,,4327,matched,4327,1,Cu1 I2 O6,4
71,LiIn(P2O7),P21,4,Triv.,no,,,b,NM,,HQ,1,60935,,60935,matched,60935,1,In1 Li1 O7 P2,4
72,LiSc(P2O7),P21,4,Triv.,no,,,b,NM,,HQ,1,91496,,91496,matched,91496,1,Li1 O7 P2 Sc1,4
73,Na(BSi2O5)(OH)2,P21,4,Triv.,no,,,,NM,,HQ,1,12134,,12134,matched,12134,1,H2 B1 Na1 O7 Si2,4
74,Te2O5,P21,4,Triv.,no,,,"b,s",NM,,,2,2523 191342,,2523,matched,2523 191342,2,O5 Te2,4
75,NbOI2,C2,5,Triv.,yes,Fig. 26,26,"b,s",NM,,HQ,1,36255,,36255,matched,36255,1,I2 Nb1 O1,5
76,NbOBr2,C2,5,Triv.,yes,Fig. 26,26,"b,s",NM,,HQ,1,416669,,416669,matched,416669,1,Br2 Nb1 O1,5
77,Pb3(VO4)2,C2,5,Triv.,no,,,,NM,,HQ,4,67604 67605 29359 69800,67604(b) 67605(b) 69800(b),29359,matched,29359 67604 67605 69800,4,O8 Pb3 V2,5
78,Sr4Zn3F14,Cm,8,Triv.,no,,,"k∗,b",,,HQ,1,72991,,72991,matched,72991,1,F14 Sr4 Zn3,8
79,Ca2CoO3,Cm,8,SM,no,,,,FM,,HQ,1,95439,,95439,matched,95439,1,Ca2 Co1 O3,8
