num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels
577,K2(ReCl5O),Pnma,62,Triv.,,NM,,,1,68907,
578,K2(TcOCl5),Pnma,62,Triv.,,NM,,,1,188005,
579,K2(Ru(NO)Cl5),Pnma,62,Triv.,,NM,,,3,20713 20436 72617,20713(b)
580,Li(ClO4),Pnma,62,Triv.,b,NM,,HQ,2,165579 413238,
581,Mg2(BO3)F,Pnma,62,Triv.,b,NM,,HQ,1,28096,
582,K2TaF7,Pnma,62,Triv.,,NM,,,2,260876 260877,
583,CsTeF5,Pnma,62,Triv.,,NM,,HQ,1,200252,
584,Na(TeF5),Pnma,62,Triv.,,NM,,HQ,1,202879,
585,NaY(CO3)F2,Pnma,62,Triv.,,NM,,,10,89258 38209 56291 72545 92198 97764 99860 153699 154117 155580,38209(b) 56291(b) 72545(b) 92198(b) 97764(b) 99860(b) 153699(b) 154117(b) 155580(b)
586,LiFe(PO4),Pnma,62,Triv.,,AFM,,,24,155635 160776 159107 161479 162282 166815 183874 184652 184862 184863 185308 189057 190771 190772 193797 193799 193800 194331 200155 241942 246855 246857 260569 260570,155635(b) 160776(b) 161479(b) 162282(b) 166815(b) 183874(b) 184652(b) 184863(b) 185308(b) 189057(b) 190771(b) 190772(b) 193797(b) 193799(b) 193800(b) 194331(b) 200155(b) 241942(b) 246855(b) 246857(b) 260569(b) 260570(b)
587,OsOF5,Pnma,62,SM,,FM,,HQ,9,260571 260572 290334 290335 290339 290336 290718 290719 16872,260571(b) 260572(b) 290334(b) 290335(b) 290339(b) 290718(b) 290719(b)
588,K3OCl,Pnma,62,Triv.,"b,s",NM,,HQ,1,78891,
589,(NH4)(PO2F2),Pnma,62,Triv.,,NM,,,1,16152,
590,KPO2F2,Pnma,62,Triv.,,NM,,HQ,1,26640,
591,Rb(H2PO2),Pnma,62,Triv.,,NM,,HQ,2,59834 250131,
592,S3(CN)2,Pnma,62,Triv.,,NM,,,2,1084 25505,
593,Se(SeCN)2,Pnma,62,Triv.,,NM,,HQ,8,10072 24054 171333 247099 14334 65783 69145 200408,
594,SC(NH2)2,Pnma,62,Triv.,,NM,,,0,,
595,K2(BiF5),Pnma,62,Triv.,"b,s",NM,,,1,418777,
596,Ca3Cl2C3,Cmcm,63,Triv.,,NM,,HQ,1,33818,
597,Ba3WO5Cl2,Cmcm,63,Triv.,,NM,,HQ,1,63518,
598,Rb3(Re3Cl12),Cmcm,63,Triv.,,NM,,,1,63585,
599,LiBF2(C2O4),Cmcm,63,Triv.,,NM,,HQ,1,185384,
600,Na(IO2F2),Cmcm,63,Triv.,b,NM,,HQ,1,260003,
601,K2(SbF5),Cmcm,63,Triv.,,NM,,,2,24742 39630,
602,K2(TeOF4),Cmcm,63,Triv.,,NM,,HQ,1,412955,
603,Na(B(C2O4)2),Cmcm,63,Triv.,,NM,,HQ,1,281622,
604,Li(NO3)(H2O)3,Cmcm,63,Triv.,,NM,,,5,1135 23109 23110 48039 48040,
605,RbCd(ZrF7),Cmcm,63,Triv.,"b,s",NM,,HQ,1,245783,
606,(Re(CO)5)I,Cmcm,63,Triv.,,NM,,,1,71219,
607,Mn(CO)5I,Cmcm,63,Triv.,,NM,,HQ,1,71878,
608,(Tc(CO)5)I,Cmcm,63,Triv.,,NM,,HQ,1,85335,
609,SrV(Si2O7),Cmcm,63,SM,b,FM,,,1,64766,
610,Sr2(V2Si4O14),Cmcm,63,SM,b,FM,,HQ,1,83361,
611,Sr2CuF6,Cmce,64,SM,b,FM,,,1,9926,
612,NbP2S8,Cmce,64,Triv.,,NM,,,1,37326,
613,Na2(W2O7),Cmce,64,Triv.,b,NM,,,3,24041 1883 290459,24041(s)
614,(Pt(NH3)4)(SnCl6),Cmce,64,Triv.,,NM,,,1,74556,
615,Ta6Br14,Cmce,64,Triv.,,NM,,,1,402031,
616,(Ni(H2O)4)(C3H2N3O3)2,Fmmm,69,Triv.,,,,,1,66806,
