icsd,formula,space_group_number,space_group_symbol,point_group,material_id,curated_flatband,best_flatband,atomic_flatband,high_quality,topology_soc,topology_nosoc,superconductor,nonzero_magnetisation,theory_entry,n_electrons,structure_type,a,b,c,alpha,beta,gamma,n_kagome,n_pyrochlore,n_lieb,n_bipartite,n_split,materials_project,cif_file,cif_symmetry_ops
29550,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.101,8.801,7.786,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/29550,cif/29550.cif,8
30011,Fe1 S2 Tl1,12,C2/m,2/<i>m</i>,30011,1,0,0,0,Trivial,Trivial,0,1,0,46,TlFeS2,11.644,5.308,10.509,90,144.58,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30011,cif/30011.cif,8
30119,Al2 O11 Si4,2,P-1,-1,30119,0,0,1,0,Trivial,Trivial,0,0,0,88,,5.1913,9.1224,9.499,91.17,100.21,88.62,0,0,0,2,0,https://materialsproject.org/materials/icsd/30119,cif/30119.cif,4
30208,Br1 Na1 O3,198,P213,23,1302,0,0,1,0,Trivial,Trivial,0,1,0,104,NaClO3,6.71,6.71,6.71,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/30208,cif/30208.cif,12
30247,Ge2 K2 O7 Pb2,147,P-3,-3,30247,1,0,0,0,Trivial,Trivial,0,0,0,76,,5.775,5.775,7.84,90,90,120,0,0,0,5,0,https://materialsproject.org/materials/icsd/30247,cif/30247.cif,6
30257,H2 K1 O4 P1,122,I-42d,-42<i>m</i>,30257,1,0,0,0,Trivial,Trivial,0,1,0,80,KH2PO4,7.43,7.43,6.97,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/30257,cif/30257.cif,16
30261,Ca5 F1 O12 P3,176,P63/m,6/<i>m</i>,24236,1,0,0,0,Trivial,Trivial,0,0,0,208,"Apatite#-(HE,P63/m)",9.37,9.37,6.88,90,90,120,0,0,0,2,0,https://materialsproject.org/materials/icsd/30261,cif/30261.cif,12
30262,Ca2 O7 Si2 Zn1,113,P-421m,-42<i>m</i>,18114,1,0,0,0,Trivial,Trivial,0,1,0,132,Melilite-Ca2MgSi2O7,7.846,7.846,5,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/30262,cif/30262.cif,8
30263,Al6 Cl2 Na8 O24 Si6,218,P-43n,-43<i>m</i>,15336,1,0,0,0,Trivial,Trivial,0,1,0,208,Sodalite-frame,8.87,8.87,8.87,90,90,90,0,0,0,4,0,https://materialsproject.org/materials/icsd/30263,cif/30263.cif,24
30275,C2 Ag1 K1 N2,163,P-31c,-3<i>m</i>,30275,1,1,0,0,Trivial,Trivial,0,0,0,228,,7.399,7.399,17.8,90,90,120,0,0,0,4,0,https://materialsproject.org/materials/icsd/30275,cif/30275.cif,12
30276,Li2 O4 S1,14,P21/c,2/<i>m</i>,58,1,0,0,0,Trivial,Trivial,0,0,0,128,Li2SO4,8.25,4.95,8.44,90,107.9,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30276,cif/30276.cif,4
30287,Cl1 F1 Pb1,129,P4/nmm,4/<i>mmm</i>,5037,1,0,0,0,Trivial,Trivial,0,0,0,36,PbClF,4.09,4.09,7.21,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30287,cif/30287.cif,16
30288,Br1 F1 Pb1,129,P4/nmm,4/<i>mmm</i>,5038,1,0,0,0,Trivial,Trivial,0,0,0,36,PbClF,4.18,4.18,7.59,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30288,cif/30288.cif,16
30296,B2 Ca1 O8 Si2,62,Pnma,<i>mmm</i>,6254,1,0,0,0,Trivial,Trivial,0,0,0,256,CaB2Si2O8,8.77,8.03,7.735,90,90,90,0,0,0,2,0,https://materialsproject.org/materials/icsd/30296,cif/30296.cif,8
30350,Fe1 O4 Sb2,135,P42/mbc,4/<i>mmm</i>,30350,1,0,0,0,ES (SM),ES (SM),0,0,0,168,Minium-Pb3O4,8.59,8.59,5.92,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/30350,cif/30350.cif,16
30351,B7 Cl1 Mg3 O13,219,F-43c,-43<i>m</i>,30351,0,0,1,0,Trivial,Trivial,0,1,0,224,Boracite(HT),12.1,12.1,12.1,90,90,90,1,0,0,1,0,https://materialsproject.org/materials/icsd/30351,cif/30351.cif,96
30404,Cr1 K3 O8,121,I-42m,-42<i>m</i>,9356,0,0,1,0,ESFD (SM),ESFD (SM),0,1,0,81,K3CrO8,6.7,6.7,7.6,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30404,cif/30404.cif,16
30409,O6 Sb2 Zn1,136,P42/mnm,4/<i>mmm</i>,30409,1,0,0,0,Trivial,Trivial,0,0,0,116,ZnSb2O6,4.67,4.67,9.26,90,90,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/30409,cif/30409.cif,16
30410,Cu1 O6 Sb2,14,P21/c,2/<i>m</i>,30410,1,0,0,0,ESFD (SM),ESFD (SM),0,0,0,114,Na2SnF6,4.62,4.62,9.28,90,88.5,90,0,0,0,3,0,https://materialsproject.org/materials/icsd/30410,cif/30410.cif,4
30412,Mn1 P1,62,Pnma,<i>mmm</i>,30412,1,0,0,0,NLC (TI),ES (SM),0,0,0,48,MnP,5.905,5.249,3.167,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30412,cif/30412.cif,8
30413,As1 Fe1,62,Pnma,<i>mmm</i>,30413,1,0,0,0,ES (SM),ESFD (SM),0,1,0,52,MnP,6.028,5.439,3.373,90,90,90,0,0,0,0,0,https://materialsproject.org/materials/icsd/30413,cif/30413.cif,8
