num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,is_top_candidate,best_figure
2095,Sr2(FeMoO6),Fm3̄m,225,Triv.,"k∗,b,s",AFM,,HQ,3,157603 181752 248459,,yes,Fig.60
2096,Sr2Y(SbO6),Fm3̄m,225,Triv.,"k∗,b,s",NM,,,2,157886 157887,,yes,Fig.60
2105,Ba2CaTeO6,Fm3̄m,225,Triv.,"k∗,b,s",NM,,HQ,1,246112,,yes,Fig.60
2108,Sr2FeOsO6,Fm3̄m,225,SM,"k∗,b,s",AFM,,,1,251068,,yes,Fig.59
2109,Cs2InAgCl6,Fm3̄m,225,Triv.,"k∗,b,s",,,,1,257115,,yes,Fig.60
2117,Pb2NaIO6,Fm3̄m,225,SM,"k∗,b,s",NM,,HQ,1,427115,,yes,Fig.59
2119,K2S,Fm3̄m,225,Triv.,,NM,,,31,5270 5271 20597 24523 53984 60013 60014 60372 76420 180950 180951 180952 180953 181557 201113 201114 201115 26735 60439 183837 641321 55115 55116 55117 55131 55132 55133 55134 55135 55136 182743,,yes,Fig.61
2122,K2Se,Fm3̄m,225,Triv.,,NM,,,3,60440 168448 196758,,yes,Fig.61
2123,K2Te,Fm3̄m,225,Triv.,,NM,,,5,60441 96739 182742 631721 641376,,yes,Fig.61
2126,LiCo2Ge,Fm3̄m,225,SM,,NM,,,1,25324,,yes,Fig.62
2133,CoFe2Ge,Fm3̄m,225,SM,,FM,,,1,52954,,yes,Fig.62
2136,Co2ZnGe,Fm3̄m,225,SM,,FM,,,1,52994,,yes,Fig.62
2139,Co2TiSi,Fm3̄m,225,SM,,FM,,,0,,,yes,Fig.62
2140,Co2VSi,Fm3̄m,225,SM,,FM,,,2,53086 659022,,yes,Fig.62
2143,FeRu2Si,Fm3̄m,225,Triv.,,FM,,,3,53525 633245 633246,,yes,Fig.65
2145,Fe2VSi,Fm3̄m,225,SM,,FM,,,3,53555 633623 659019,,yes,Fig.62
2149,ZrNi2In,Fm3̄m,225,SM,,NM,,HQ,2,54546 59460,,yes,Fig.62
2150,HfNi2In,Fm3̄m,225,SM,,NM,,,1,54595,,yes,Fig.63
2159,AlCrFe2,Fm3̄m,225,SM,,FM,,,2,57654 184446,,yes,Fig.63
2160,AlFe3,Fm3̄m,225,SM,,FM,,,5,57793 607482 607484 607485 672764,,yes,Fig.63
2161,AlFe2Mo,Fm3̄m,225,SM,,FM,,,1,57807,,yes,Fig.63
2172,Mn3Si,Fm3̄m,225,SM,,FM,SC,,0,,,yes,Fig.63
2174,CoFe2Ga,Fm3̄m,225,TI,,FM,,,1,102385,,yes,Fig.61
2176,Co2HfGa,Fm3̄m,225,SM,,FM,,,2,102433 623080,,yes,Fig.63
